"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Argentina";"ARG";"Primera C";"15-06-2026 15:30";"NS";"Fénix";"";"";"Leones de Rosario";"";"";"";"3.65";"2.06";"24";"0.9";"1.7";"2";"10";"41";"74";"70";"5";"0.6";"0.6";"18";"7.3";"19";"34";"29";"67";"43";"50";"71";"33";"43";"33";"";"";"29";"56";"14";"50";"7";"6";"0.3";"1.2";"0.9";"1";"1.6";"0";"0.8";"0.3";"0.5";"0.8";"2";"77";"55";"16";"48";"0";"50";"92";"75";"92";"57";"50";"29";"67";""
"Argentina";"ARG";"Primera C";"15-06-2026 15:30";"NS";"Sportivo Barracas";"";"";"General Lamadrid";"";"";"";"";"";"36";"1.4";"0.6";"2";"31";"27";"84";"56";"";"0.6";"0.5";"10.2";"9.8";"46";"44";"75";"20";"62";"20";"50";"40";"50";"40";"";"";"46";"20";"38";"0";"8";"5";"0.9";"0.8";"0.6";"1.4";"1.8";"0.2";"0.4";"0.4";"0.6";"0.8";"2";"78";"65";"32";"49";"25";"20";"90";"68";"100";"38";"80";"50";"60";""
"Argentina";"ARG";"Torneo Federal A";"15-06-2026 18:00";"NS";"Sportivo Belgrano";"";"";"Defensores Belgrano VR";"";"";"";"1.47";"7.00";"34";"1.8";"0.7";"3";"41";"41";"100";"42";"1";"0.5";"0.4";"7.5";"7.7";"49";"47";"40";"17";"67";"17";"33";"33";"50";"50";"";"";"61";"22";"50";"17";"6";"6";"1.2";"1.2";"0.3";"1.8";"2.2";"0.5";"0.5";"0.2";"0.5";"0.8";"1.9";"92";"66";"34";"58";"33";"50";"84";"75";"100";"33";"83";"67";"67";""
"Argentina";"ARG";"Reserve League";"15-06-2026 15:00";"NS";"Atlético Rafaela Res.";"";"";"Deportivo Riestra Res.";"";"";"";"";"";"50";"0.9";"0.9";"2";"48";"31";"32";"52";"";"0.6";"0.6";"6.4";"4.7";"43";"57";"50";"0";"12";"12";"25";"50";"38";"38";"";"";"29";"29";"25";"25";"8";"8";"1.4";"0.9";"2.1";"1.5";"3";"0.5";"0.4";"1.1";"0.9";"1.4";"2.5";"100";"62";"50";"68";"38";"25";"68";"62";"75";"88";"88";"75";"50";""
"Aruba";"ARU";"Division de Honor";"15-06-2026 21:30";"NS";"Dakota";"";"";"Sporting";"";"";"";"";"";"64";"3";"1.4";"5";"100";"58";"63";"35";"";"0.8";"0.5";"3.4";"5";"56";"39";"100";"43";"17";"22";"0";"44";"50";"44";"2";"6";"100";"48";"100";"44";"6";"9";"4.3";"1.7";"1.2";"2";"4.6";"2.2";"0.7";"0.5";"1.3";"2.4";"4.4";"94";"84";"78";"86";"100";"33";"36";"44";"50";"83";"78";"100";"56";"50"
"Bhutan";"BHU";"Bhutan Premier League";"15-06-2026 09:00";"NS";"BFF Academy U20";"";"";"Paro FC";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"0";"";"50";"";"";"";"67";"";"50";"";"2";"";"2";"";"1";"";"";"1";"";"0.5";"";"";"";"";"";"";"";"50";"";"";"";"";"100";"";"100";"";""
"Brazil";"BRA";"Serie C";"15-06-2026 19:30";"NS";"Maringá";"";"";"Maranhão";"";"";"1.22";"1.59";"4.82";"60";"1.4";"0.8";"3";"68";"20";"14";"49";"1";"0.7";"0.6";"8";"15.7";"31";"30";"100";"40";"0";"20";"20";"60";"80";"60";"";"";"47";"27";"40";"20";"5";"5";"2";"0.6";"2.6";"1.6";"3.4";"0.6";"0.4";"1.6";"0.8";"1.7";"2.4";"90";"90";"70";"90";"60";"20";"60";"40";"80";"100";"80";"80";"40";""
"Brazil";"BRA";"Serie C";"15-06-2026 20:30";"NS";"Ypiranga Erechim";"";"";"Botafogo PB";"";"";"1.36";"2.08";"3.33";"55";"1.8";"0.6";"3";"61";"41";"63";"35";"5";"0.7";"0.6";"6.4";"8";"43";"40";"75";"20";"50";"20";"0";"20";"50";"40";"";"";"58";"20";"50";"20";"4";"5";"1.8";"1.2";"1.2";"2";"3.1";"0.5";"0.8";"0.5";"1";"1.4";"2.4";"100";"90";"55";"55";"50";"40";"68";"68";"68";"50";"80";"100";"80";""
"Brazil";"BRA";"Serie C";"15-06-2026 20:30";"NS";"Ferroviária";"";"";"Barra FC";"";"";"";"2.00";"3.85";"38";"1.8";"1.2";"2";"34";"41";"70";"77";"5";"0.6";"0.5";"15.2";"6.8";"25";"51";"75";"0";"50";"25";"25";"25";"50";"75";"";"";"58";"42";"50";"25";"4";"4";"1";"1.2";"1";"0.8";"2";"0.2";"0.5";"0.5";"0.2";"0.8";"2.4";"100";"62";"25";"50";"25";"25";"88";"75";"100";"50";"75";"75";"75";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"15-06-2026 14:45";"NS";"América RJ U20";"";"";"Volta Redonda U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
