"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"15-06-2026 13:00";"NS";"Spain";"";"";"Cape Verde Islands";"";"";"1.09";"24.33";"1.08";"1.86";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 16:00";"NS";"Belgium";"";"";"Egypt";"";"";"1.62";"5.59";"1.29";"1.31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 19:00";"NS";"Saudi Arabia";"";"";"Uruguay";"";"";"8.05";"1.43";"1.31";"1.28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"15-06-2026 22:00";"NS";"Iran";"";"";"New Zealand";"";"";"1.84";"4.67";"1.44";"1.19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"15-06-2026 21:00";"NS";"Criciúma";"";"";"Ceará";"";"";"";"";"";"";"6";"13";"73";"33";"";"48";"27";"70";"";"1.9";"2";"1.4";"0.8";"0.6";"1";"50";"40";"20";"90";"2.2";"27.4";"7.5";"12.7";"2.2";"1";"11";"84";"70";"60";"80";"";"";"0.6";"0.2";"0.2";"0.2";"1.3";"0.6";"0.4";"0.8";"0.8";"0.6";"";"60";"20";"8.4";"5";"5.4";"6.6";"10.3";"80";"80"
"Brazil";"BRA";"Serie B";"15-06-2026 21:00";"NS";"Londrina";"";"";"Avaí";"";"";"2.30";"3.30";"";"";"18";"17";"13";"27";"5";"27";"34";"70";"";"2.5";"2";"0.8";"1";"1.6";"1.6";"60";"70";"60";"70";"2.2";"27.9";"8.4";"10.7";"0.4";"0.8";"11";"49";"49";"60";"60";"";"";"0.4";"0.2";"0.6";"1.2";"1.3";"1.2";"1";"0.4";"0.4";"0.8";"";"0";"20";"7.2";"3";"5.6";"5.6";"10.3";"80";"70"
"Bolivia";"BOL";"Liga De Futbol Prof";"15-06-2026 20:00";"NS";"Club Bolívar";"";"";"Guabirá";"";"";"1.17";"10.98";"1.04";"2.24";"4";"7";"58";"27";"3";"100";"41";"100";"";"4.4";"4";"3.2";"1.2";"1.2";"3";"68";"90";"88";"45";"3";"33.1";"14.6";"8.6";"1.8";"0.8";"9";"63";"0";"50";"40";"";"";"1.5";"0.4";"0.5";"1.2";"2.6";"1.8";"0.8";"1.8";"1.8";"0.8";"";"50";"20";"5.8";"3.4";"1.5";"6.6";"9.9";"68";"42"
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Vera Cruz RJ";"";"";"CAAC Brasil";"";"";"";"";"";"";"15";"14";"33";"11";"";"34";"24";"66";"";"2.6";"2";"1";"0.7";"2";"1.7";"50";"75";"33";"84";"2.6";"23.8";"7.8";"11";"1";"0.3";"11";"35";"46";"33";"33";"";"";"0";"0";"1";"0.5";"1.6";"0.5";"2.5";"2";"1";"1";"";"33";"0";"6";"2";"3.5";"10.5";"9.9";"100";"75"
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Mageense";"";"";"Céres";"";"";"";"";"";"";"11";"8";"50";"67";"";"34";"58";"100";"";"3.2";"3";"1";"1.7";"2.5";"1.3";"42";"75";"66";"58";"2.6";"28.2";"12.8";"13.5";"1.5";"2";"12";"18";"60";"50";"33";"";"";"1";"1";"0.5";"1";"1.5";"1.8";"2";"0.3";"0";"0.7";"";"50";"67";"4";"8.5";"8.5";"6";"9.9";"100";"100"
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Tigres do Brasil";"";"";"União Central";"";"";"";"";"";"";"3";"10";"78";"0";"";"58";"10";"67";"";"2.3";"3";"1.7";"0.3";"0.7";"2";"33";"75";"50";"84";"2.6";"21.2";"6.8";"8.2";"2.3";"0";"9";"80";"35";"33";"67";"";"";"2";"0.5";"0";"1";"1";"1.2";"1";"2";"0.5";"0";"";"67";"0";"4.5";"7.5";"3";"1.5";"9.9";"50";"25"
"Brazil";"BRA";"Carioca C";"15-06-2026 14:45";"NS";"Campos AA";"";"";"Uni Souza";"";"";"";"";"";"";"2";"9";"78";"0";"";"44";"51";"84";"";"3";"3";"1.3";"1.5";"0.7";"2.5";"84";"75";"66";"75";"2.6";"";"";"";"2.3";"0";"";"80";"18";"67";"50";"";"";"0.5";"0";"0.5";"2.5";"1.2";"1.6";"1";"0";"1";"1.5";"";"67";"0";"11";"";"3.5";"";"9.9";"";""
"Argentina";"ARG";"Primera C";"15-06-2026 15:30";"NS";"Sacachispas";"";"";"Argentino Rosario";"";"";"2.21";"3.38";"1.54";"1.12";"4";"23";"71";"20";"5";"54";"48";"78";"";"2.8";"2";"1.6";"1.4";"0.9";"1.8";"59";"65";"49";"64";"2";"19.4";"8.2";"7";"2.1";"0.6";"7";"74";"42";"38";"60";"";"";"0.4";"1";"0.1";"0.6";"1.8";"1";"0.8";"1.2";"1.2";"0.4";"";"62";"0";"3.9";"1.8";"4.1";"4.2";"7.6";"35";"29"
"Argentina";"ARG";"Primera C";"15-06-2026 15:30";"NS";"Fénix";"";"";"Leones de Rosario";"";"";"3.65";"2.06";"";"";"28";"7";"29";"56";"5";"10";"41";"55";"";"1.6";"2";"0.3";"1.2";"0.9";"1";"24";"48";"16";"92";"2";"14.8";"5.3";"6.3";"0.9";"1.7";"7";"74";"70";"43";"33";"";"";"0";"0.8";"0.3";"0.5";"0.8";"0.8";"0.6";"0.5";"0.3";"0.3";"";"14";"50";"2.4";"2.7";"3.4";"4";"7.6";"16";"0"
"Argentina";"ARG";"Primera C";"15-06-2026 15:30";"NS";"Sportivo Barracas";"";"";"General Lamadrid";"";"";"";"";"";"";"17";"2";"46";"20";"";"31";"27";"65";"";"1.8";"2";"0.9";"0.8";"0.6";"1.4";"36";"49";"32";"90";"2";"16.2";"7.1";"7.1";"1.4";"0.6";"8";"84";"56";"50";"40";"";"";"0.2";"0.4";"0.4";"0.6";"1";"0.8";"0.2";"0.8";"0.6";"0.4";"";"38";"0";"3.6";"2.4";"4";"4.2";"7.6";"41";"29"
"Argentina";"ARG";"Torneo Federal A";"15-06-2026 18:00";"NS";"Sportivo Belgrano";"";"";"Defensores Belgrano VR";"";"";"1.47";"7.00";"";"";"2";"5";"61";"22";"1";"41";"41";"66";"";"2.2";"3";"1.2";"1.2";"0.3";"1.8";"34";"58";"34";"84";"1.9";"20.6";"9.6";"9.6";"1.8";"0.7";"9";"100";"42";"50";"50";"";"";"0.5";"0.5";"0.2";"0.5";"1.4";"0.8";"0.2";"1.3";"0.7";"0.7";"";"50";"17";"5.8";"3";"4.6";"5.7";"9";"74";"55"
"Argentina";"ARG";"Reserve League";"15-06-2026 15:00";"NS";"Atlético Rafaela Res.";"";"";"Deportivo Riestra Res.";"";"";"";"";"";"";"34";"18";"29";"29";"";"48";"31";"62";"";"3";"2";"1.4";"0.9";"2.1";"1.5";"50";"68";"50";"68";"2.5";"17.3";"7.6";"8.6";"0.9";"0.9";"8";"32";"52";"38";"38";"";"";"0.5";"0.4";"1.1";"0.9";"1.5";"1.4";"1";"0.6";"0.9";"0.5";"";"25";"25";"3.6";"3.2";"5.2";"5.1";"9.1";"62";"44"
"Aruba";"ARU";"Division de Honor";"15-06-2026 21:30";"NS";"Dakota";"";"";"Sporting";"";"";"";"";"";"";"1";"2";"100";"48";"";"100";"58";"84";"100";"4.6";"5";"4.3";"1.7";"1.2";"2";"64";"86";"78";"36";"4.4";"18.9";"9.6";"6.6";"3";"1.4";"7";"63";"35";"50";"44";"100";"0";"2.2";"0.7";"0.5";"1.3";"2.2";"2.4";"0.7";"0.7";"2.2";"1";"2";"100";"44";"4";"2.7";"2";"4.4";"8.1";"32";"14"
"Bhutan";"BHU";"Bhutan Premier League";"15-06-2026 09:00";"NS";"BFF Academy U20";"";"";"Paro FC";"";"";"";"";"";"";"1";"";"67";"";"";"";"";"";"";"";"";"2";"";"1";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"50";"";"";"";"1";"";"0.5";"";"";"";"0.5";"";"1";"";"";"50";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie C";"15-06-2026 19:30";"NS";"Maringá";"";"";"Maranhão";"";"";"1.59";"4.82";"1.22";"1.39";"9";"12";"47";"27";"1";"68";"20";"90";"";"3.4";"3";"2";"0.6";"2.6";"1.6";"60";"90";"70";"60";"2.4";"22.9";"8";"9.5";"1.4";"0.8";"10";"14";"49";"80";"60";"";"";"0.6";"0.4";"1.6";"0.8";"1.7";"1.7";"1";"0.8";"1.4";"0.2";"";"40";"20";"7.2";"4.4";"2.8";"4.6";"10.7";"70";"60"
"Brazil";"BRA";"Serie C";"15-06-2026 20:30";"NS";"Ypiranga Erechim";"";"";"Botafogo PB";"";"";"2.08";"3.33";"1.36";"1.22";"16";"17";"58";"20";"5";"61";"41";"90";"";"3.1";"3";"1.8";"1.2";"1.2";"2";"55";"55";"55";"68";"2.4";"24.1";"10";"11.7";"1.8";"0.6";"11";"63";"35";"50";"40";"";"";"0.5";"0.8";"0.5";"1";"1.7";"1.4";"0.8";"1";"1.2";"0.4";"";"50";"20";"6.8";"4.4";"5";"7.2";"10.7";"100";"90"
"Brazil";"BRA";"Serie C";"15-06-2026 20:30";"NS";"Ferroviária";"";"";"Barra FC";"";"";"2.00";"3.85";"";"";"10";"15";"58";"42";"5";"34";"41";"62";"";"2";"2";"1";"1.2";"1";"0.8";"38";"50";"25";"88";"2.4";"24.8";"7.2";"11.7";"1.8";"1.2";"12";"70";"77";"50";"75";"";"";"0.2";"0.5";"0.5";"0.2";"1.2";"0.8";"0.5";"0.5";"0.8";"0.8";"";"50";"25";"7";"3.5";"4.2";"8.8";"10.7";"100";"100"
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"15-06-2026 14:45";"NS";"América RJ U20";"";"";"Volta Redonda U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"15-06-2026 09:00";"NS";"Kumba City";"";"";"Les Astres";"";"";"";"";"";"";"5";"6";"86";"50";"";"44";"48";"66";"";"2.2";"2";"1.3";"1.4";"0.6";"1.1";"52";"79";"40";"94";"2.4";"";"";"8.1";"2.6";"1.5";"9";"84";"66";"43";"38";"";"";"0.8";"0.2";"0.3";"0.6";"1.2";"1";"0.5";"0.5";"0.5";"1.1";"";"86";"38";"5.6";"3.7";"2.6";"4.3";"8.4";"54";"45"
"Cameroon";"CMR";"Elite Two";"15-06-2026 11:00";"NS";"Avion Academy";"";"";"Atlantic";"";"";"";"";"";"";"4";"2";"76";"71";"";"44";"44";"36";"";"1.8";"2";"1.3";"1.3";"0.3";"0.9";"28";"43";"28";"86";"2.4";"";"";"9.2";"2.3";"2.1";"8";"100";"74";"29";"43";"";"";"0.4";"0.7";"0";"0";"1.2";"0.6";"0.3";"0.9";"0.9";"0.6";"";"71";"71";"4.2";"5.8";"3.3";"5";"8.4";"66";"58"
"Cameroon";"CMR";"Elite Two";"15-06-2026 11:00";"NS";"Union Abong-Mbang";"";"";"APEJES Academy";"";"";"";"";"";"";"3";"1";"76";"58";"";"48";"65";"59";"";"2.2";"2";"1.4";"1.9";"0.4";"0.6";"27";"62";"40";"87";"2.4";"";"";"7.8";"2.3";"1.8";"8";"100";"84";"43";"38";"";"";"0.7";"0.5";"0";"0.4";"1.4";"0.8";"0.7";"0.2";"0.8";"1.4";"";"71";"50";"4.3";"5.7";"3.3";"2.1";"8.4";"52";"45"
