"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"Friendly International";"10-06-2026 13:00";"FT";"Pakistan";"2";"0";"Afghanistan";"1";"0";"2.92";"2.71";"1.42";"8";"5";"63";"52";"24";"17";"60";"56";"29";"38";"5";"40";"20";"20";"10";"30";"23";"10";"10";"3";"3.7";"4";"5.3";"8";"1.1";"2.8";"1.9";"1.9";"2";"1";"1.6";"3.8";"3.8";"4.2";"9";"64";"53";"16";"32";"54";"84";"84";"88";"30";"44";"29";"75";"43";"50";"29";"38";"0.3";"0.9";"15.2";"6.4";"6.1";"9.9";"8.1"
"World";"WOR";"Friendly International";"10-06-2026 16:45";"FT";"Portugal";"2";"1";"Nigeria";"1";"1";"1.34";"8.16";"1.36";"8";"1";"70";"77";"88";"68";"50";"60";"50";"40";"";"";"";"60";"60";"70";"73";"10";"10";"6.4";"3";"2.2";"3.8";"7.7";"3";"1.3";"1.1";"1.9";"3.3";"1.6";"1.1";"1.8";"3.6";"3.9";"9";"40";"35";"25";"40";"30";"85";"85";"80";"90";"40";"80";"40";"90";"40";"70";"10";"0.9";"0.4";"22.5";"19.4";"9.3";"9.5";"6.9"
"World";"WOR";"Friendly International";"10-06-2026 18:00";"FT";"England";"3";"0";"Costa Rica";"1";"0";"1.15";"17.17";"1.34";"8";"3";"88";"42";"75";"44";"50";"50";"33";"33";"2";"50";"0";"70";"10";"73";"30";"10";"10";"7.3";"4.9";"2.1";"4.4";"9.4";"3.1";"2.1";"1.4";"2.4";"4.1";"3.3";"0.7";"2.4";"4.6";"5.3";"9";"85";"65";"50";"44";"56";"85";"70";"78";"90";"50";"89";"56";"89";"33";"78";"44";"0.7";"0.4";"22.3";"17.2";"10.6";"6.2";"10.7"
"World";"WOR";"Friendly International";"10-06-2026 21:00";"FT";"Bolivia";"0";"4";"Algeria";"0";"1";"6.97";"1.39";"1.30";"10";"2";"46";"100";"27";"61";"20";"60";"50";"40";"";"";"";"30";"60";"33";"70";"10";"10";"6.6";"4.8";"3.4";"4.4";"9.6";"2.8";"2.4";"1.6";"2.1";"3.8";"2.2";"1.8";"2.1";"4.4";"4.9";"9";"70";"60";"45";"45";"45";"75";"65";"70";"60";"40";"70";"60";"80";"50";"60";"40";"0.5";"0.5";"21.2";"13.4";"11.5";"8.7";"8.9"
"Brazil";"BRA";"Serie B";"10-06-2026 20:00";"FT";"Goiás";"0";"4";"Novorizontino";"0";"1";"2.35";"3.36";"1.22";"10";"5";"60";"60";"27";"41";"60";"50";"50";"40";"4";"50";"50";"30";"30";"37";"43";"10";"10";"4";"3.3";"5.4";"5.1";"8.9";"2.3";"1.3";"2.4";"1.8";"1.7";"2";"3";"3.3";"3.9";"5";"10.3";"60";"40";"25";"25";"60";"85";"80";"85";"10";"30";"20";"50";"60";"40";"10";"30";"0.5";"0.5";"24.3";"10.8";"10.2";"13";"14.6"
"Brazil";"BRA";"Serie B";"10-06-2026 20:00";"FT";"Ceará";"2";"1";"Avaí";"2";"0";"1.86";"4.43";"1.22";"9";"1";"49";"56";"44";"48";"30";"50";"40";"50";"10";"50";"30";"30";"30";"33";"40";"10";"10";"4.8";"3.2";"5.2";"4.8";"9";"2.1";"1.1";"2";"2.6";"2.7";"2.1";"3.2";"2.2";"3.9";"5.1";"10.3";"55";"45";"30";"25";"55";"70";"70";"80";"40";"40";"30";"20";"50";"10";"30";"30";"0";"0.1";"25.4";"13.3";"11.1";"13.7";"12.6"
"Brazil";"BRA";"Serie B";"10-06-2026 21:00";"FT";"Sport Recife";"1";"1";"Athletic Club";"0";"0";"1.88";"4.41";"1.20";"10";"1";"77";"60";"44";"41";"50";"60";"20";"50";"";"";"";"70";"30";"70";"40";"10";"10";"2.9";"4.3";"7.2";"5.5";"10";"1.3";"2.2";"2.9";"2.4";"1.6";"2.1";"4.3";"3.1";"4.4";"5.6";"10.3";"80";"60";"50";"40";"65";"65";"55";"75";"10";"50";"60";"20";"30";"40";"0";"50";"0.3";"0.2";"24";"10.5";"9.5";"14.3";"13.7"
"Brazil";"BRA";"Paraense 2";"10-06-2026 17:00";"FT";"Carajás";"0";"1";"Izabelense";"";"";"";"";"";"";"";"56";"46";"31";"44";"";"50";"";"50";"";"";"";"20";"30";"30";"37";"10";"10";"";"5";"";"3";"";"";"2.5";"";"2";"";"2.5";"";"1";"";"";"8.4";"";"";"";"";"";"";"";"";"";"100";"";"50";"";"100";"";"50";"";"0.5";"";"";"16.5";"";"5.5"
"Spain";"ESP";"La Liga 2";"10-06-2026 16:00";"FT";"Málaga";"1";"1";"Las Palmas";"0";"1";"1.98";"3.68";"1.40";"10";"1";"63";"56";"71";"48";"70";"50";"70";"40";"10";"40";"20";"60";"60";"67";"63";"10";"10";"4.9";"4.4";"4.4";"4.1";"8.9";"2.8";"2.2";"1.7";"1.8";"2.1";"2.2";"2.7";"2.3";"4.2";"4.6";"9.4";"65";"55";"50";"45";"45";"90";"85";"90";"40";"40";"90";"40";"70";"60";"50";"40";"0.7";"0.1";"25.8";"15.4";"11.4";"13.2";"11.5"
"South Africa";"RSA";"Premier League Play-offs";"10-06-2026 10:00";"FT";"Cape Town City";"1";"1";"Magesi";"1";"0";"1.91";"4.42";"1.40";"11";"1";"80";"56";"44";"34";"25";"50";"57";"50";"3";"0";"67";"50";"30";"57";"33";"10";"10";"5.2";"4.3";"4.4";"5.3";"9.6";"1.7";"1.8";"1.9";"2.7";"4.3";"2.5";"3.1";"2.6";"4";"6.2";"13.3";"66";"50";"44";"36";"60";"72";"72";"78";"50";"20";"57";"30";"57";"20";"57";"20";"0.4";"0";"24.2";"15";"11.9";"10.6";"11"
