"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"Canada";"CAN";"Premier League";"10-06-2026 20:00";"FT";"Forge";"1";"0";"HFX Wanderers";"0";"0";"1.34";"8.23";"1.47";"9";"1";"100";"46";"61";"31";"50";"70";"33";"50";"10";"80";"10";"80";"20";"83";"30";"10";"10";"4.7";"4.2";"4.1";"5.4";"9.2";"3";"2";"1.9";"4";"2.2";"3.2";"2.7";"2.8";"5.4";"5.4";"9.5";"70";"60";"40";"48";"59";"85";"80";"88";"60";"40";"33";"62";"67";"38";"33";"50";"0.2";"0.9";"22";"13.8";"8";"7.3";"14.8"
"Canada";"CAN";"Premier League";"10-06-2026 20:30";"FT";"Inter Toronto FC";"1";"5";"Cavalry";"0";"2";"3.75";"1.88";"1.28";"9";"2";"60";"88";"44";"58";"56";"20";"56";"20";"10";"30";"50";"40";"70";"50";"77";"10";"10";"3.6";"5.1";"6";"3.9";"9.3";"1.9";"2.3";"2.4";"2.1";"1.7";"2.8";"3.6";"1.8";"4.4";"4.9";"9.5";"68";"53";"38";"47";"48";"84";"84";"74";"22";"50";"44";"60";"33";"60";"11";"40";"0.4";"0.6";"26.7";"15";"14.1";"14.6";"9.7"
"Paraguay";"PAR";"Copa Paraguay";"10-06-2026 13:00";"FT";"General Caballero";"0";"3";"Humaitá";"0";"1";"1.74";"3.91";"";"8";"1";"60";"18";"44";"85";"50";"50";"";"100";"";"";"";"40";"33";"53";"39";"10";"6";"2.5";"3";"6";"4.5";"8";"";"1";"";"3";"";"2";"";"1.5";"";"";"8.3";"75";"50";"0";"";"";"100";"100";"";"0";"50";"";"50";"";"50";"";"0";"";"0.5";"19.8";"4";"4.5";"15.5";"15.5"
"Paraguay";"PAR";"Copa Paraguay";"10-06-2026 15:30";"FT";"General Caballero FO";"0";"3";"10 de Julio";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Paraguay";"PAR";"Copa Paraguay";"10-06-2026 18:00";"FT";"Silvio Pettirossi";"0";"5";"River Plate";"0";"2";"4.34";"1.62";"";"7";"2";"60";"60";"31";"24";"80";"40";"50";"40";"";"";"";"20";"20";"33";"33";"10";"10";"3";"3.5";"4.8";"3.5";"7.4";"1";"1.8";"1";"1.2";"5";"1.7";"8";"2.3";"2.5";"8.5";"8.3";"50";"40";"25";"15";"60";"100";"80";"145";"0";"50";"50";"70";"50";"60";"0";"30";"0.5";"0.2";"15.3";"6.6";"6";"11.2";"6.8"
"Switzerland";"SUI";"1.Liga Classic";"10-06-2026 15:00";"FT";"YF Juventus";"1";"2";"Langenthal";"1";"0";"1.85";"3.68";"";"11";"1";"74";"60";"58";"75";"33";"50";"67";"50";"";"";"";"60";"50";"63";"63";"10";"10";"6.7";"8";"3";"7.5";"12.6";"3";"4";"0.7";"4.5";"3.7";"4";"2.3";"3";"6.1";"6.5";"9.4";"84";"84";"66";"50";"84";"34";"34";"50";"100";"50";"100";"100";"100";"50";"67";"50";"0.7";"2";"24.8";"18";"16";"6";"9.5"
"Switzerland";"SUI";"1.Liga Classic";"10-06-2026 15:30";"FT";"Amical Saint-Prex";"4";"1";"Servette II";"2";"0";"3.17";"2.00";"";"";"5";"38";"63";"48";"95";"";"60";"";"60";"2";"50";"50";"30";"60";"43";"67";"10";"10";"";"3.4";"";"3.2";"";"";"1.6";"";"1.8";"";"1.8";"";"1.4";"";"";"9.4";"";"";"";"";"";"";"";"";"";"40";"";"40";"";"40";"";"0";"";"0.2";"";"";"11.4";"";"7"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"Estudiantes RC Res.";"1";"0";"Huracán Res.";"1";"0";"4.93";"1.63";"";"9";"2";"32";"80";"17";"27";"40";"60";"60";"60";"";"";"";"10";"40";"17";"50";"10";"10";"3.3";"4.4";"4";"5.2";"8.4";"1.8";"1.9";"2.9";"2.1";"1.5";"2.5";"1.1";"3.1";"4.4";"4.1";"9.1";"55";"40";"35";"40";"40";"85";"80";"80";"30";"60";"40";"60";"40";"40";"20";"40";"0.2";"0.3";"17";"6.5";"7.6";"11.5";"8.4"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"Newell's Old Boys Res.";"3";"1";"Boca Juniors Res.";"1";"0";"3.29";"2.12";"1.53";"9";"5";"80";"100";"54";"54";"50";"40";"60";"60";"10";"0";"70";"60";"60";"67";"67";"10";"10";"5.6";"5.9";"3.6";"2.9";"9";"3";"3.4";"1.3";"1.3";"2.6";"2.5";"2.3";"1.6";"4.5";"4.5";"9.1";"60";"50";"40";"45";"65";"75";"70";"70";"70";"80";"60";"50";"80";"70";"70";"60";"0.8";"0.5";"18";"11.4";"11.2";"6.7";"6.8"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"San Martín San Juan Res.";"0";"4";"Estudiantes La Plata Res";"0";"2";"6.88";"1.37";"";"9";"2";"7";"70";"31";"41";"70";"40";"30";"70";"";"";"";"10";"40";"17";"47";"10";"10";"3.5";"6.2";"4.8";"4";"9.2";"1.1";"2";"2.5";"2";"2.4";"4.2";"2.3";"2";"3.8";"5.4";"9.1";"60";"45";"40";"25";"65";"65";"60";"80";"40";"60";"30";"50";"50";"60";"10";"50";"0.3";"0.4";"17.3";"6.7";"10";"10.2";"7.7"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"Argentinos Juniors Res.";"3";"1";"Barracas Central Res.";"1";"0";"1.68";"4.56";"1.45";"10";"1";"74";"66";"44";"27";"60";"40";"60";"30";"7";"43";"0";"50";"30";"60";"40";"10";"10";"5";"5.2";"5";"4";"9.6";"2";"2.1";"2.4";"2.1";"3";"3.1";"2.6";"1.9";"4.3";"5.3";"9.1";"80";"55";"55";"40";"70";"85";"65";"80";"50";"40";"50";"60";"40";"40";"40";"40";"0.6";"0.3";"15.6";"7.6";"7.8";"8.5";"7.4"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"Sarmiento Res.";"1";"2";"Talleres Córdoba Res.";"1";"0";"3.90";"1.87";"1.19";"10";"2";"46";"63";"34";"51";"70";"50";"50";"50";"9";"0";"67";"20";"30";"27";"40";"10";"10";"4";"5.4";"6.8";"4.1";"10.2";"2";"1.7";"3.4";"2.3";"2";"3.7";"3.4";"1.8";"4.7";"5.4";"9.1";"85";"70";"60";"50";"60";"75";"60";"65";"30";"60";"40";"60";"50";"50";"30";"50";"0.4";"0.3";"18.4";"7.6";"9.8";"11.8";"7.7"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"Vélez Sársfield Res.";"2";"0";"Tigre Res.";"2";"0";"1.33";"7.66";"1.36";"9";"1";"84";"56";"75";"34";"40";"20";"40";"50";"10";"70";"20";"80";"30";"83";"37";"10";"10";"5";"4.3";"2.8";"5.4";"8.8";"3.2";"1.9";"1";"1.5";"1.8";"2.4";"1.8";"3.9";"3.8";"5";"9.1";"60";"45";"35";"30";"55";"85";"65";"70";"80";"30";"80";"70";"90";"50";"40";"20";"0.8";"0.5";"15.8";"10.8";"5.2";"8.2";"7.4"
"Argentina";"ARG";"Reserve League";"10-06-2026 15:00";"FT";"San Lorenzo Res.";"2";"2";"Instituto Res.";"0";"1";"2.07";"3.50";"1.34";"8";"5";"52";"66";"37";"31";"30";"50";"40";"20";"5";"40";"40";"30";"20";"37";"40";"10";"10";"3.4";"3.5";"3.7";"5.5";"8";"1.2";"2.2";"1.6";"2.6";"2.2";"1.3";"2.1";"2.9";"3.8";"4.2";"9.1";"65";"35";"20";"40";"30";"95";"90";"80";"40";"30";"50";"40";"40";"30";"20";"30";"0.4";"0.2";"18.2";"9.2";"7";"9.3";"10.9"
"Aruba";"ARU";"Division de Honor";"10-06-2026 21:30";"FT";"La Fama";"1";"1";"Dakota";"1";"0";"5.44";"1.38";"";"8";"2";"56";"80";"48";"88";"38";"50";"50";"75";"10";"0";"70";"30";"60";"43";"67";"10";"10";"4.6";"2.8";"4";"2.6";"7";"1.4";"1";"1.4";"0.9";"2.5";"1.8";"2.1";"1.8";"2.3";"4";"8.1";"44";"25";"18";"6";"38";"94";"88";"100";"38";"62";"25";"50";"50";"25";"25";"25";"0.1";"0";"17.5";"7.8";"10.4";"9.6";"7.2"
"Australia";"AUS";"Queensland Premier League 3 Metro";"10-06-2026 06:15";"DELAYED";"Newmarket";"0";"0";"North Pine";"0";"0";"1.20";"8.94";"";"11";"3";"52";"56";"99";"48";"50";"38";"50";"38";"7";"57";"29";"70";"40";"70";"47";"10";"10";"4.8";"4.5";"5.2";"6";"10.2";"2.5";"2.2";"3.3";"2.4";"2.3";"2.2";"1.8";"3.6";"5.2";"5.1";"10.6";"88";"79";"56";"46";"52";"72";"72";"62";"50";"25";"50";"50";"50";"38";"50";"38";"0.7";"0.2";"31";"19.3";"11.5";"17.5";"13.8"
"Australia";"AUS";"Queensland Premier League 3 Metro";"10-06-2026 07:30";"DELAYED";"AC Carina";"0";"0";"Redcliffe PCYC";"0";"0";"1.04";"22.54";"";"10";"3";"38";"2";"82";"61";"56";"43";"50";"29";"3";"100";"0";"40";"20";"53";"23";"10";"10";"7.1";"2.4";"4.1";"9.6";"11.6";"3.6";"0.6";"2";"3.3";"4";"1.9";"2";"6.3";"4.8";"7";"10.6";"82";"82";"74";"58";"88";"50";"31";"60";"56";"0";"75";"14";"62";"14";"62";"14";"0.6";"0.3";"32.8";"17.3";"12.4";"16.2";"19.7"
"Australia";"AUS";"Capital Territory";"10-06-2026 06:30";"FT";"O'Connor Knights";"0";"1";"Cooma Tigers";"0";"0";"9.33";"1.17";"";"9";"4";"28";"66";"34";"100";"50";"30";"40";"50";"10";"50";"40";"40";"80";"40";"80";"10";"10";"5.1";"4";"5.1";"3";"8.6";"2.1";"1.8";"2.7";"1.7";"3";"2.2";"2.4";"1.3";"4.2";"4.4";"9.5";"55";"40";"30";"45";"35";"75";"70";"70";"60";"40";"60";"40";"60";"60";"60";"30";"0.2";"0.2";"20.2";"9.2";"12.3";"11.2";"7.6"
"Australia";"AUS";"Capital Territory";"10-06-2026 06:30";"FT";"Canberra Olympic";"2";"3";"Gungahlin Juventus";"0";"2";"2.19";"2.41";"";"10";"5";"7";"49";"88";"78";"50";"50";"40";"30";"4";"50";"25";"40";"60";"43";"60";"10";"10";"5";"7.3";"2.5";"5.2";"10";"2.3";"3.1";"0.7";"2.5";"2.7";"4.2";"1.8";"2.7";"4.3";"5.7";"9.5";"70";"60";"45";"40";"50";"65";"60";"70";"70";"60";"70";"40";"70";"50";"50";"60";"1";"0.7";"23.4";"14.8";"9.9";"10.4";"11.8"
"Australia";"AUS";"Capital Territory";"10-06-2026 06:30";"FT";"Tuggeranong United";"1";"6";"Monaro Panthers";"0";"4";"4.70";"1.47";"";"11";"2";"35";"38";"92";"100";"60";"56";"50";"44";"10";"10";"60";"70";"60";"70";"60";"10";"10";"3.9";"8";"7.8";"3.3";"11.5";"1.9";"3.8";"3.7";"1.6";"2";"4.2";"4.1";"1.8";"5.4";"6";"9.5";"79";"79";"68";"53";"68";"58";"37";"47";"10";"89";"30";"67";"10";"78";"10";"67";"0.4";"0.7";"24.5";"10.8";"14.7";"13.2";"10.3"
"Australia";"AUS";"Capital Territory";"10-06-2026 06:30";"FT";"Canberra FC";"4";"2";"Queanbeyan City";"2";"1";"1.59";"4.04";"";"9";"1";"66";"84";"100";"71";"40";"50";"60";"70";"7";"57";"14";"80";"70";"83";"73";"10";"10";"4.9";"5.2";"2.9";"3.6";"8.3";"3";"2.6";"1.1";"1.4";"1.9";"2.6";"1.8";"2.2";"4";"4.2";"9.5";"50";"35";"25";"40";"30";"85";"80";"85";"70";"60";"50";"70";"70";"80";"40";"40";"0.5";"0.4";"21.2";"12";"14.7";"8.9";"6.9"
"Australia";"AUS";"Capital Territory";"10-06-2026 06:30";"FT";"Belconnen United";"1";"2";"Canberra White Eagles";"1";"1";"1.38";"5.17";"";"9";"1";"4";"2";"54";"17";"40";"60";"50";"30";"10";"70";"0";"10";"0";"13";"0";"10";"10";"2.9";"2.8";"6.7";"6.1";"9.2";"1.4";"1.6";"3.3";"2.4";"1.5";"1.2";"3.4";"3.7";"4.4";"4.9";"9.5";"70";"65";"40";"35";"45";"80";"65";"80";"10";"20";"30";"50";"20";"20";"10";"20";"0.1";"0.4";"23.8";"8";"9.4";"14.3";"16"
"Australia";"AUS";"New South Wales";"10-06-2026 06:30";"FT";"Sydney Olympic";"1";"1";"SD Raiders";"1";"0";"2.93";"2.03";"1.12";"9";"5";"52";"52";"48";"65";"33";"67";"22";"56";"";"";"";"50";"60";"53";"67";"10";"10";"3.9";"4.3";"6.2";"3.9";"9.1";"2.1";"2.6";"2.1";"1.7";"1.8";"1.8";"4.1";"2.2";"4.2";"5";"9.4";"62";"50";"34";"50";"50";"72";"66";"78";"11";"56";"33";"67";"33";"56";"22";"56";"0.4";"1.1";"24.4";"9.3";"12.8";"14.1";"12.7"
"Australia";"AUS";"Northern NSW FFA Cup Preliminary";"10-06-2026 06:00";"FT";"Maitland";"4";"0";"Kahibah";"";"";"1.33";"6.00";"";"11";"1";"49";"32";"99";"58";"38";"62";"38";"25";"";"";"";"60";"50";"63";"50";"10";"10";"4.2";"3.9";"5.6";"6.4";"10";"2.4";"2.1";"2.4";"3.5";"1.9";"1.8";"3.2";"2.9";"5.2";"4.8";"12";"62";"56";"56";"62";"56";"56";"56";"56";"25";"12";"50";"25";"38";"12";"25";"12";"0.5";"0.2";"22.4";"8";"10.2";"10.5";"16.1"
"Australia";"AUS";"Northern NSW FFA Cup Preliminary";"10-06-2026 06:30";"FT";"Weston Workers FC";"1";"0";"Edgeworth Eagles";"";"";"2.00";"3.00";"";"11";"5";"77";"49";"78";"75";"71";"22";"43";"44";"10";"30";"50";"70";"40";"73";"53";"10";"10";"5.7";"5.3";"5.1";"3.8";"10";"2.4";"2.7";"2.4";"1.6";"3.3";"2.4";"2.7";"1.8";"4.6";"5.1";"12";"84";"58";"58";"50";"65";"68";"50";"74";"57";"44";"86";"67";"43";"67";"43";"56";"1";"0.6";"23.5";"13";"13.9";"9.4";"10.8"
"Australia";"AUS";"Brisbane Reserves Premier League";"10-06-2026 05:30";"POSTPONED";"Carina U23";"";"";"Redcliffe Dolphins U23";"";"";"";"";"";"";"";"74";"2";"100";"44";"";"";"";"";"2";"100";"0";"60";"20";"67";"20";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"New South Wales NPL Youth League";"10-06-2026 04:30";"FT";"Sydney Olympic U20";"0";"1";"SD Raiders U20";"0";"0";"5.01";"1.47";"";"9";"2";"4";"35";"31";"54";"50";"62";"56";"62";"";"";"";"0";"50";"3";"50";"10";"10";"2.1";"4.6";"7.3";"3.2";"8.6";"0.9";"1.6";"3";"1.4";"1.4";"3";"5.1";"1.9";"3.4";"5.8";"9";"66";"42";"32";"17";"58";"84";"72";"94";"0";"75";"22";"38";"0";"88";"0";"62";"0.2";"0.2";"24.8";"7";"12.6";"18.9";"11"
"Australia";"AUS";"South Australia FFA Cup Preliminary";"10-06-2026 06:45";"FT";"Cumberland United";"3";"2";"Adelaide Cobras";"1";"1";"2.05";"2.80";"";"10";"5";"60";"32";"54";"51";"50";"50";"70";"50";"9";"67";"22";"50";"30";"50";"30";"10";"10";"3.6";"4.2";"4.8";"6.3";"9.4";"1.7";"2.6";"2.1";"3.1";"1.9";"1.6";"2.7";"3.2";"4.8";"4.7";"11";"70";"60";"55";"40";"50";"65";"55";"70";"30";"30";"70";"50";"60";"50";"10";"30";"0.4";"0.9";"18.2";"10.6";"8.1";"8.9";"8.9"
"Australia";"AUS";"Capital Territory NPL Youth League";"10-06-2026 04:30";"FT";"O'Connor Knights U23";"0";"5";"Cooma Tigers U23";"0";"4";"3.92";"1.54";"";"9";"2";"10";"80";"82";"92";"40";"40";"50";"40";"10";"40";"40";"40";"60";"43";"70";"10";"10";"4.6";"5.3";"4.2";"3.5";"8.8";"2.4";"3.1";"2.1";"1.4";"2.2";"2.2";"2.1";"2.1";"4.5";"4.3";"8.6";"80";"50";"35";"40";"45";"95";"75";"80";"20";"60";"30";"60";"50";"70";"30";"60";"0.4";"0.4";"27.5";"10.3";"17.9";"13.6";"13.2"
"Australia";"AUS";"Capital Territory NPL Youth League";"10-06-2026 04:30";"FT";"Canberra Olympic U23";"2";"2";"Canberra Juventus U23";"1";"1";"2.72";"2.09";"";"8";"5";"28";"56";"75";"85";"25";"33";"29";"38";"4";"25";"50";"40";"60";"47";"67";"10";"10";"4.4";"3.1";"4.6";"4.4";"8.3";"1.4";"1.2";"3";"2.6";"3.6";"2.2";"2.3";"2.4";"4.2";"5.2";"8.6";"53";"42";"30";"48";"54";"88";"81";"86";"38";"11";"43";"38";"29";"50";"29";"12";"0.3";"0.1";"27";"15";"14.7";"12.5";"11.8"
"Australia";"AUS";"Capital Territory NPL Youth League";"10-06-2026 04:30";"FT";"Tuggeranong United U23";"1";"5";"Monaro Panthers U23";"0";"1";"2.23";"2.61";"";"8";"5";"52";"35";"85";"95";"56";"33";"33";"22";"10";"40";"30";"70";"60";"70";"60";"10";"10";"4.3";"5.3";"3.4";"4.1";"8.6";"1.9";"3.3";"2.1";"2.3";"2.4";"2";"1.3";"1.8";"4.8";"3.8";"8.6";"66";"44";"22";"44";"28";"89";"84";"67";"33";"33";"33";"67";"44";"56";"33";"33";"0.6";"0.8";"25";"14.9";"15.3";"8.9";"11"
"Australia";"AUS";"Capital Territory NPL Youth League";"10-06-2026 04:30";"FT";"Canberra Croatia U23";"1";"0";"Queanbeyan City U23";"1";"0";"2.68";"2.03";"";"8";"5";"21";"49";"68";"82";"30";"40";"20";"50";"4";"50";"25";"20";"60";"23";"63";"10";"10";"5.1";"5.2";"3.4";"3.1";"8.4";"3.1";"2.8";"0.8";"1.5";"2";"2.4";"2.6";"1.6";"4.1";"4.3";"8.6";"50";"35";"25";"40";"40";"85";"80";"75";"70";"70";"90";"80";"80";"70";"60";"70";"0.9";"1.2";"25.2";"9.4";"16.5";"11.9";"12.7"
"Australia";"AUS";"Capital Territory NPL Youth League";"10-06-2026 04:30";"FT";"Belconnen United U23";"2";"1";"Canberra White Eagles U23";"0";"1";"1.08";"14.08";"";"9";"3";"38";"2";"61";"14";"60";"50";"40";"60";"6";"100";"0";"50";"0";"53";"0";"10";"10";"4.9";"1.8";"3.1";"7.8";"8.8";"2.2";"1";"1.8";"3.7";"2.7";"0.8";"1.3";"4.1";"4.4";"4.4";"8.6";"65";"55";"25";"35";"35";"80";"75";"85";"80";"10";"40";"30";"40";"10";"60";"10";"0.6";"0.4";"23.8";"11.9";"6.1";"11.5";"18.2"
"Australia";"AUS";"Northern NSW State League 1 Reserves";"10-06-2026 05:00";"FT";"Wallsend Res.";"2";"3";"New Lambton Res.";"";"";"";"";"";"";"";"63";"52";"100";"85";"";"";"";"";"4";"75";"0";"70";"70";"73";"70";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern NSW State League 1 Reserves";"10-06-2026 05:00";"FT";"South Cardiff Res.";"3";"4";"Newcastle Croatia Res.";"";"";"";"";"";"";"";"10";"2";"78";"48";"";"";"";"";"";"";"";"30";"33";"30";"33";"10";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern NSW State League 1 Reserves";"10-06-2026 05:00";"FT";"Lake Macquarie Res.";"3";"0";"Toronto Awaba Res.";"0";"0";"";"";"";"";"";"63";"7";"58";"82";"";"";"";"";"2";"100";"0";"60";"40";"63";"43";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern NSW State League 1";"10-06-2026 07:00";"POSTPONED";"Wallsend";"";"";"New Lambton";"";"";"";"";"";"";"";"49";"60";"85";"82";"";"";"";"";"4";"25";"75";"60";"60";"67";"67";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
