"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"16-06-2026 16:00";"NS";"France";"";"";"Senegal";"";"";"1.46";"7.13";"1.28";"1.34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"16-06-2026 19:00";"NS";"Iraq";"";"";"Norway";"";"";"14.76";"1.19";"1.15";"1.55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"16-06-2026 22:00";"NS";"Argentina";"";"";"Algeria";"";"";"1.39";"9.00";"1.30";"1.30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"16-06-2026 20:00";"NS";"Fortaleza";"";"";"América Mineiro";"";"";"1.58";"5.93";"";"";"4";"20";"87";"11";"1";"82";"17";"82";"";"3";"3";"2.4";"0.5";"0.8";"2.2";"55";"90";"65";"64";"2.2";"25.4";"8.6";"8.2";"2.6";"0.3";"9";"77";"28";"40";"50";"";"";"1";"0.2";"0.4";"1.2";"1.6";"1.4";"0.4";"1";"1.4";"0.3";"";"80";"0";"4.2";"6.7";"1.8";"3.8";"10.3";"42";"42"
"Bolivia";"BOL";"Liga De Futbol Prof";"16-06-2026 16:00";"NS";"Always Ready";"";"";"Universitario de Vinto";"";"";"1.20";"10.10";"1.03";"2.21";"1";"8";"75";"33";"3";"68";"34";"58";"";"2.2";"3";"2";"1";"0.5";"1";"29";"71";"42";"75";"3";"29";"10.5";"11.6";"2.2";"1";"11";"88";"70";"50";"67";"";"";"0.5";"0.3";"0.2";"0.3";"1.6";"0.8";"0.2";"0.7";"1.5";"0.7";"";"75";"33";"8";"6.7";"4.2";"4.3";"9.9";"100";"88"
"Aruba";"ARU";"Division de Honor";"16-06-2026 21:30";"NS";"La Fama";"";"";"Britannia";"";"";"";"";"";"";"1";"2";"33";"86";"";"48";"78";"68";"0";"3.2";"4";"1.4";"2.3";"1.9";"0.9";"64";"64";"58";"64";"4.4";"17.2";"7";"8.3";"1";"2.6";"8";"38";"74";"30";"43";"50";"50";"0.8";"1.1";"0.3";"0.3";"2";"1.2";"1.6";"0.6";"0.6";"1.1";"2";"30";"86";"4.8";"5.8";"4";"2";"8.1";"61";"30"
"Australia";"AUS";"Npl Queensland";"16-06-2026 06:30";"NS";"Gold Coast Knights";"";"";"Queensland Lions";"";"";"3.61";"1.74";"1.07";"1.68";"7";"2";"78";"75";"2";"100";"100";"100";"";"4.6";"4";"3";"3.2";"1.7";"1.4";"88";"100";"84";"22";"3.9";"27";"11.6";"11";"2.3";"2.2";"10";"46";"56";"67";"38";"";"";"0.3";"1.9";"1";"0.8";"2.6";"2";"0.7";"0.6";"2.7";"1.4";"";"67";"75";"8";"6.8";"3.7";"3.6";"10.3";"94";"88"
"Australia";"AUS";"Npl Queensland";"16-06-2026 06:30";"TBA";"Wynnum Wolves FC";"";"";"Eastern Suburbs Brisbane";"";"";"2.82";"2.05";"1.07";"1.80";"4";"5";"52";"67";"5";"48";"61";"92";"";"3.1";"4";"1.4";"1.8";"2";"1";"45";"76";"76";"62";"3.9";"24.8";"9.4";"11.2";"1.6";"2";"11";"35";"70";"43";"67";"";"";"0.4";"0.5";"0.9";"0.2";"2.2";"1";"1.1";"0.8";"1";"1.3";"";"43";"67";"6.7";"4.5";"5.6";"5.7";"10.3";"75";"66"
"Australia";"AUS";"Npl Queensland";"16-06-2026 07:30";"NS";"Rochedale Rovers";"";"";"Moreton City Excelsior";"";"";"4.86";"1.47";"1.04";"2.00";"9";"3";"43";"39";"2";"58";"58";"84";"";"3.3";"3";"1.7";"1.7";"1.9";"1.3";"38";"92";"69";"55";"3.9";"20.6";"8.3";"9.4";"1.3";"1.2";"9";"38";"60";"57";"67";"";"";"1";"0.5";"0.9";"0.5";"1.8";"1.4";"1";"0.8";"0.7";"1.2";"";"43";"33";"4.3";"4.7";"5.7";"4";"10.3";"76";"68"
"Australia";"AUS";"Western Australia FFA Cup Preliminary";"16-06-2026 08:00";"NS";"Bayswater City";"";"";"Perth RedStar";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
