"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global"
"Australia";"AUS";"Western Australia FFA Cup Preliminary";"16-06-2026 08:00";"NS";"Fremantle City";"";"";"Olympic Kingsway";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"2";"";"0.5";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"1";"";"0.5";"";"";"";"0";"";"1";"";"";"100";"";"";"";"";"";"";""
"Australia";"AUS";"Queensland Premier League";"16-06-2026 06:30";"NS";"Redlands United";"";"";"SC Wanderers";"";"";"2.47";"2.30";"";"";"9";"5";"44";"39";"5";"68";"41";"100";"";"3.5";"4";"2";"1.2";"1.8";"2";"67";"83";"75";"58";"3.5";"21.8";"11.1";"11.6";"1.3";"1.2";"10";"42";"35";"67";"17";"";"";"1";"0.8";"0.5";"0.5";"2";"1.4";"1.3";"1.5";"1";"0.3";"";"33";"33";"5.7";"4.7";"6.8";"6";"10.1";"92";"75"
"Australia";"AUS";"Queensland NPL Youth League";"16-06-2026 05:30";"NS";"Rochedale Rovers U23";"";"";"Moreton City U23";"";"";"2.53";"2.19";"";"";"1";"4";"90";"61";"5";"100";"100";"93";"";"4.7";"4";"3.6";"3.2";"0.9";"1.8";"63";"75";"86";"37";"4.1";"23.4";"11.4";"8.6";"2.7";"1.8";"10";"74";"42";"43";"33";"";"";"1.3";"1.3";"0.2";"0.7";"2.8";"1.6";"1";"1.2";"2.7";"1.8";"";"86";"50";"4.8";"6.2";"2.8";"3.5";"9.9";"64";"54"
"Australia";"AUS";"Queensland NPL Youth League";"16-06-2026 06:30";"POSTPONED";"Olympic U23";"";"";"Magic United U23";"";"";"1.05";"27.25";"";"";"9";"12";"39";"7";"3";"61";"14";"100";"";"4.6";"3";"1.8";"0.4";"1.8";"5";"62";"79";"82";"26";"4.1";"24.4";"12.5";"9.6";"1.2";"0.2";"9";"42";"2";"67";"40";"";"";"0.5";"0";"0.7";"1.2";"3";"1.1";"1.2";"5";"1.3";"0.5";"";"33";"0";"4";"3";"3.2";"9";"9.9";"50";"50"
"Bhutan";"BHU";"Bhutan Premier League";"16-06-2026 07:00";"NS";"Ugyen Academy";"";"";"Thimphu";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Brasileiro U20";"16-06-2026 15:00";"NS";"Criciuma U20";"";"";"Palmeiras U20";"";"";"";"";"";"";"18";"1";"48";"100";"";"65";"88";"86";"";"3.4";"3";"1.9";"2.6";"1.7";"0.7";"64";"78";"57";"72";"3.2";"24.8";"9";"9.9";"1.4";"3";"10";"46";"80";"14";"43";"";"";"0.9";"1.6";"0.4";"0.3";"1.8";"1.6";"1.3";"0.4";"1";"1";"";"43";"100";"4.9";"4.9";"5.6";"4.4";"10.3";"78";"57"
"Brazil";"BRA";"Brasileiro U20";"16-06-2026 15:00";"NS";"América Mineiro U20";"";"";"Santos U20";"";"";"";"";"";"";"7";"6";"52";"50";"";"48";"41";"73";"";"2.5";"2";"1.4";"1.2";"1.1";"1.1";"66";"80";"46";"66";"3.2";"25.5";"9.2";"10.8";"1.6";"1.5";"11";"66";"66";"43";"50";"";"";"1";"0.5";"0.3";"0.5";"1.4";"1.2";"0.9";"0.6";"0.4";"0.8";"";"29";"38";"6.1";"3.8";"5.7";"5.9";"10.3";"80";"80"
"Brazil";"BRA";"Brasileiro U20";"16-06-2026 15:00";"NS";"Atletico-PR U20";"";"";"Cruzeiro U20";"";"";"";"";"";"";"9";"3";"62";"43";"";"82";"48";"86";"";"3.4";"4";"2.4";"1.4";"1.5";"1.4";"66";"80";"60";"54";"3.2";"21.6";"8.6";"11";"1.9";"1.3";"11";"52";"56";"50";"57";"";"";"1.1";"0.7";"0.8";"0.4";"1.8";"1.5";"0.8";"1";"1.2";"0.7";"";"50";"29";"8.1";"5.1";"3.2";"5.4";"10.3";"80";"80"
"Brazil";"BRA";"Amazonense U20";"16-06-2026 16:00";"NS";"Manauara U20";"";"";"Clipper U20";"";"";"";"";"";"";"4";"";"100";"";"";"";"";"";"";"";"";"5";"";"0";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"16-06-2026 16:00";"NS";"Manaus U20";"";"";"Sul América U20";"";"";"";"";"";"";"5";"8";"17";"17";"";"34";"34";"75";"";"2.5";"4";"1";"1";"1.5";"1.5";"75";"";"50";"75";"4.9";"";"";"";"0.5";"0.5";"";"52";"52";"50";"50";"";"";"";"";"";"";"0.2";"0.5";"";"";"";"";"";"0";"0";"";"";"";"";"9";"";""
"Brazil";"BRA";"Amazonense U20";"16-06-2026 16:00";"NS";"RB do Norte U20";"";"";"Amazonas U20";"";"";"";"";"";"";"";"1";"";"100";"";"";"";"";"";"";"";"";"8.5";"";"0";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";""
"Brazil";"BRA";"Catarinense U20";"16-06-2026 18:00";"NS";"Concórdia U20";"";"";"Brusque U20";"";"";"";"";"";"";"";"";"58";"25";"";"27";"34";"75";"";"2.8";"3";"0.8";"1";"1";"2.8";"38";"66";"50";"75";"3";"20.1";"9";"8";"1.8";"0.8";"8";"70";"7";"50";"50";"";"";"0.3";"0.5";"0";"1.2";"1.4";"1";"0.3";"1.5";"1.7";"0.5";"";"50";"25";"3.3";"4.8";"4";"4";"9.2";"58";"42"
"Brazil";"BRA";"Brasileiro U20 B";"16-06-2026 15:00";"NS";"Atlético GO U20";"";"";"Goias U20";"";"";"";"";"";"";"1";"2";"75";"44";"";"61";"24";"54";"";"2";"2";"1.8";"0.7";"1";"0.7";"29";"42";"54";"88";"3.1";"25.4";"9.8";"10.4";"2.2";"1.3";"10";"70";"80";"75";"33";"";"";"1";"0.3";"0";"0.3";"1.2";"0.8";"1";"0.3";"0.8";"0.3";"";"75";"33";"4.2";"4.3";"2.5";"9.7";"9.8";"62";"62"
"Cameroon";"CMR";"Elite Two";"16-06-2026 21:00";"NS";"Atlantic";"";"";"Union Abong-Mbang";"";"";"";"";"";"";"2";"3";"63";"50";"";"37";"34";"66";"";"1.9";"2";"1.1";"1";"0.6";"1.1";"53";"53";"24";"88";"2.4";"";"";"9.8";"1.9";"1.5";"9";"84";"66";"56";"25";"";"";"0.8";"0.4";"0.2";"0.4";"1";"0.9";"0.3";"0.8";"0.3";"0.6";"";"44";"38";"4.2";"4.6";"5.2";"5.4";"8.4";"66";"59"
"Cameroon";"CMR";"Elite Two";"16-06-2026 21:00";"NS";"APEJES Academy";"";"";"Kumba City";"";"";"";"";"";"";"1";"5";"79";"37";"";"68";"20";"54";"";"2";"2";"2";"0.6";"0.8";"0.7";"36";"56";"30";"81";"2.4";"";"";"8.2";"2.4";"1.1";"9";"77";"80";"50";"33";"";"";"0.5";"0.2";"0.2";"0.5";"1.1";"0.8";"0.5";"0.2";"1.5";"0.4";"";"75";"22";"4.7";"3.4";"2.7";"5.6";"8.4";"55";"46"
"Cameroon";"CMR";"Elite Two";"16-06-2026 21:00";"NS";"Les Astres";"";"";"Avion Academy";"";"";"";"";"";"";"6";"4";"42";"33";"";"48";"20";"88";"";"2.6";"2";"1.4";"0.6";"1.8";"1.5";"44";"75";"50";"88";"2.4";"";"";"8.3";"1.2";"1";"8";"42";"52";"12";"38";"";"";"0.8";"0.5";"0.9";"0.5";"1.3";"1.3";"0.9";"1";"0.6";"0.1";"";"38";"25";"4";"3.3";"4.5";"4.9";"8.4";"55";"48"
"Estonia";"EST";"Meistriliiga";"16-06-2026 13:00";"NS";"Kuressaare";"";"";"JK Trans Narva";"";"";"2.62";"2.35";"1.18";"1.40";"9";"10";"43";"0";"5";"44";"10";"78";"";"3.4";"3";"1.3";"0.3";"1.6";"3.7";"43";"78";"64";"64";"3.2";"20.8";"8.5";"9.3";"1.3";"0";"10";"49";"2";"57";"43";"";"";"0.7";"0.3";"0.4";"1.4";"2";"1.4";"1.1";"2.3";"0.6";"0";"";"43";"0";"4.1";"3.7";"5.4";"5.3";"10.6";"71";"64"
"Estonia";"EST";"Meistriliiga";"16-06-2026 13:00";"NS";"Vaprus";"";"";"Flora";"";"";"5.47";"1.47";"1.11";"1.57";"5";"3";"48";"57";"2";"54";"54";"86";"";"3.3";"3";"1.6";"1.6";"2";"1.4";"43";"57";"64";"50";"3.2";"23";"8.7";"11.4";"1.4";"1.7";"11";"35";"56";"57";"71";"";"";"0.6";"0.4";"0.7";"0.4";"2.2";"1.1";"1.3";"1";"1";"1.1";"";"43";"57";"3.6";"9.3";"7";"3";"10.6";"78";"78"
"Estonia";"EST";"Estonian Cup";"16-06-2026 13:00";"NS";"Kose";"";"";"Kummik";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"16-06-2026 13:45";"NS";"Vändra";"";"";"Starmedia";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"5";"";"1";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"16-06-2026 21:00";"NS";"Paide III";"";"";"Pohja-Tallinna JK Volta";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"2";"";"0";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"16-06-2026 21:00";"NS";"FC Kohvile";"";"";"Tabasalu Ulasabat";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"16-06-2026 21:00";"NS";"Team Helm";"";"";"Keila";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"5";"";"0";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";""
"Estonia";"EST";"Small Cup";"16-06-2026 21:00";"NS";"Elva III";"";"";"Raasiku Valla";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Estonia";"EST";"U19 League";"16-06-2026 09:00";"NS";"Laagri U19";"";"";"FC Tallinn U19 II";"";"";"";"";"";"";"1";"";"100";"";"";"";"";"";"";"";"";"6";"";"1";"";"";"";"";"";"";"";"";"";"3";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";""
"Estonia";"EST";"U19 League";"16-06-2026 11:00";"NS";"Legion U19";"";"";"Saue U19";"";"";"";"";"";"";"19";"7";"0";"33";"";"44";"92";"100";"";"9";"9";"1.3";"2.7";"8.7";"5.3";"84";"100";"100";"0";"7.4";"";"";"";"0";"1";"";"2";"2";"67";"67";"";"";"0.3";"1.7";"4";"3";"4.5";"4.5";"4.7";"2.3";"1";"1";"";"0";"33";"";"";"";"";"9";"";""
"Estonia";"EST";"U19 League";"16-06-2026 12:00";"NS";"Tallinna Kalev U19";"";"";"Helios U19";"";"";"";"";"";"";"";"5";"";"44";"";"";"";"";"";"";"";"";"1.7";"";"2.3";"";"";"";"";"";"";"";"";"";"1.3";"";"";"";"";"67";"";"";"";"0.7";"";"0.3";"";"";"";"2";"";"1";"";"";"33";"";"";"";"";"";"";""
"Estonia";"EST";"U19 League";"16-06-2026 12:00";"NS";"Vaprus U19";"";"";"Nõmme United U19";"";"";"";"";"";"";"8";"14";"44";"11";"";"92";"100";"100";"";"6.5";"7";"2.7";"3.7";"1.3";"5.3";"66";"84";"84";"34";"7.4";"";"";"";"1.3";"0.3";"";"60";"2";"33";"67";"";"";"0.3";"2.5";"0.3";"2.5";"3.3";"2";"1";"5.5";"2.3";"3";"";"33";"0";"";"";"";"";"9";"";""
"Estonia";"EST";"U19 League";"16-06-2026 12:00";"NS";"JK Trans Narva U19";"";"";"Olymp Tallinn U19";"";"";"";"";"";"";"2";"3";"100";"78";"";"100";"100";"100";"";"6.1";"7";"3.2";"6.7";"1";"1.3";"71";"100";"88";"25";"7.4";"";"";"";"3";"2.3";"";"70";"60";"50";"33";"";"";"1.5";"5";"0.5";"1";"1.8";"2.5";"4";"1";"2.5";"5";"";"100";"67";"";"";"";"";"9";"";""
"Estonia";"EST";"U19 League";"16-06-2026 12:30";"NS";"Kuressaare U19";"";"";"Phoenix U19";"";"";"";"";"";"";"13";"6";"33";"33";"";"100";"100";"100";"";"6";"6";"4.3";"3.3";"2.3";"2";"66";"84";"100";"67";"7.4";"";"";"";"1";"1";"";"25";"35";"33";"33";"";"";"2.7";"1.7";"1";"1.3";"2.6";"3.4";"1.3";"0.7";"1.7";"1.7";"";"33";"33";"";"";"";"";"9";"";""
"Ethiopia";"ETH";"Premier League";"16-06-2026 07:00";"NS";"Mebrat Hayl";"";"";"Mekelle Kenema";"";"";"";"";"";"";"5";"18";"47";"33";"";"31";"17";"40";"";"1.4";"2";"0.9";"0.5";"0.7";"0.7";"30";"25";"25";"95";"1.8";"12.7";"4.2";"7";"1.4";"1";"7";"80";"80";"50";"30";"";"";"0.3";"0";"0";"0.3";"1.1";"0.3";"0.7";"0.4";"0.6";"0.5";"";"30";"20";"2.4";"4.5";"4.3";"2.8";"7.5";"35";"25"
"Ethiopia";"ETH";"Premier League";"16-06-2026 10:00";"NS";"Bahardar";"";"";"Welayta Dicha";"";"";"";"";"";"";"6";"10";"33";"57";"";"20";"27";"45";"";"1.4";"2";"0.6";"0.8";"0.9";"0.4";"30";"35";"15";"90";"1.8";"12.7";"4.8";"6.4";"1";"1.7";"7";"74";"100";"60";"30";"";"";"0.3";"0.1";"0.6";"0.1";"0.8";"0.6";"0.3";"0.3";"0.3";"0.7";"";"10";"40";"3.3";"3.1";"3.5";"2.9";"7.5";"25";"20"
"Ethiopia";"ETH";"Premier League";"16-06-2026 10:00";"NS";"Sheger Ketema";"";"";"Welwalo Adigrat Uni";"";"";"";"";"";"";"12";"14";"40";"50";"";"17";"41";"45";"";"1.6";"2";"0.5";"1.2";"0.5";"0.9";"45";"40";"30";"90";"1.8";"13.1";"4.7";"8";"1.2";"1.5";"8";"88";"74";"60";"50";"";"";"0.1";"0.4";"0.2";"0.6";"0.9";"0.6";"0.3";"0.3";"0.4";"0.8";"";"20";"30";"4.2";"3.7";"3.4";"4.7";"7.5";"50";"35"
"Finland";"FIN";"Kolmonen - Eastern Group";"16-06-2026 12:30";"NS";"NiemU";"";"";"KuPS Akatemia II";"";"";"";"";"";"";"1";"3";"100";"50";"";"100";"85";"100";"";"5";"5";"4.7";"2.5";"0";"2.8";"50";"100";"100";"0";"4";"";"";"";"3";"1.5";"";"100";"7";"33";"25";"";"";"2";"1";"0";"1.2";"2.8";"2.1";"0";"1.5";"2.7";"1.5";"";"100";"50";"";"4";"";"2";"10.3";"";""
"Finland";"FIN";"Kolmonen - Eastern Group";"16-06-2026 12:30";"NS";"IPS Edustus";"";"";"PeKa";"";"";"";"";"";"";"1";"2";"100";"100";"";"68";"100";"88";"";"3.4";"4";"2";"3";"0.8";"1";"62";"";"62";"50";"4";"";"";"";"3";"3";"";"77";"70";"50";"75";"";"";"";"0.5";"";"0.5";"1";"0.4";"";"1.5";"";"5.5";"";"100";"100";"";"4";"";"6.5";"10.3";"";""
"Finland";"FIN";"Kolmonen - Eastern Group";"16-06-2026 13:00";"NS";"Metso";"";"";"Jyväskylä Blackbird";"";"";"";"";"";"";"3";"2";"100";"83";"";"100";"100";"100";"";"5.8";"5";"4.2";"4.5";"0.8";"2";"88";"84";"100";"0";"4";"26.4";"13";"8.9";"3";"2.5";"10";"77";"35";"75";"50";"";"";"2";"2";"0";"1";"2.8";"2.2";"2";"1";"2.7";"2.5";"";"100";"75";"4.7";"3.5";"4.7";"5";"10.3";"84";"42"
"Finland";"FIN";"A-Junior League";"16-06-2026 21:00";"NS";"MP U21";"";"";"TBC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"A-Junior League";"16-06-2026 21:00";"NS";"Inter Turku U21";"";"";"TBC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Finland";"FIN";"Kolmonen - Northern Group";"16-06-2026 13:00";"CANCELLED";"PonPa";"";"";"Hercules-j";"";"";"";"";"";"";"9";"";"0";"";"";"";"";"";"";"";"";"0";"";"8";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"50";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";""
"Finland";"FIN";"Kolmonen - Western Group";"16-06-2026 13:00";"NS";"Haka Juniorit";"";"";"NoPS";"";"";"";"";"";"";"7";"4";"67";"67";"";"100";"68";"100";"";"3.5";"4";"3";"2";"0.7";"1.3";"50";"84";"84";"50";"3.8";"25.6";"10.1";"12.6";"2";"2";"12";"80";"60";"33";"67";"";"";"1";"0.7";"0.3";"0.7";"2.2";"1.3";"0.3";"0.7";"2";"1.3";"";"67";"67";"8.7";"7";"6";"3.5";"10.1";"100";"100"
"Finland";"FIN";"Kolmonen - Southern Group";"16-06-2026 13:00";"NS";"MPS/Atletico Malmi";"";"";"HPS II";"";"";"";"";"";"";"1";"6";"50";"67";"";"61";"92";"100";"";"4.8";"4";"1.8";"2.7";"2.5";"2.7";"75";"88";"100";"12";"4.1";"23.2";"11.9";"12.2";"1.5";"2";"11";"18";"10";"25";"33";"";"";"1";"1.5";"0.8";"1.5";"2.1";"1.9";"1.8";"2.5";"0.8";"2.5";"";"50";"67";"4";"8";"6.3";"6";"10";"84";"84"
"Finland";"FIN";"Kolmonen - Southern Group";"16-06-2026 14:15";"NS";"SexyPöxyt";"";"";"LoPa";"";"";"";"";"";"";"2";"7";"100";"67";"";"100";"41";"80";"";"3";"3";"3.2";"1.2";"0.5";"1";"35";"42";"70";"65";"4.1";"16.6";"7.8";"7.9";"3";"2";"9";"88";"70";"50";"40";"";"";"0.5";"0.8";"0";"0.2";"2.2";"0.8";"0.5";"0.8";"2.8";"0.4";"";"100";"60";"4";"3.5";"5";"3.2";"10";"58";"46"
"Gambia";"GAM";"GFF First Division";"16-06-2026 13:30";"NS";"Hart Acedemy";"";"";"Brikama United";"";"";"";"";"";"";"8";"5";"50";"37";"";"37";"27";"45";"";"1.8";"2";"1.1";"0.8";"0.9";"0.8";"40";"50";"25";"80";"1.8";"23.7";"6";"7.4";"1.5";"1.1";"8";"74";"77";"50";"40";"";"";"0.4";"0.5";"0.1";"0.6";"1";"0.8";"0.8";"0.2";"0.7";"0.3";"";"40";"20";"2.6";"4.6";"4.4";"3.2";"8.8";"40";"40"
"Gambia";"GAM";"GFF First Division";"16-06-2026 13:30";"NS";"Samger";"";"";"Bombada";"";"";"";"";"";"";"16";"3";"27";"43";"";"27";"27";"55";"";"1.8";"2";"0.8";"0.8";"1.2";"0.9";"50";"50";"25";"80";"1.8";"21.6";"4.2";"9.6";"0.8";"1.3";"9";"63";"74";"60";"50";"";"";"0.5";"0.3";"0.6";"0.3";"1";"0.8";"0.6";"0.6";"0.3";"0.5";"";"10";"30";"5.2";"4.6";"4.6";"4.9";"8.8";"76";"71"
"Gambia";"GAM";"GFF First Division";"16-06-2026 13:30";"NS";"Greater Tomorrow";"";"";"BST Galaxy";"";"";"";"";"";"";"13";"10";"40";"33";"";"44";"34";"80";"";"2.6";"2";"1.3";"1";"1.4";"1.5";"60";"70";"50";"70";"1.8";"21.6";"6";"8";"1.2";"1";"9";"56";"52";"60";"40";"";"";"0.7";"0.2";"0.6";"0.8";"1.4";"1.2";"0.8";"0.7";"0.6";"0.8";"";"30";"20";"3.9";"4.6";"5";"2.6";"8.8";"62";"50"
"Gambia";"GAM";"GFF First Division";"16-06-2026 13:30";"NS";"Medina United";"";"";"Dutch Lions";"";"";"";"";"";"";"1";"9";"43";"23";"";"34";"14";"50";"";"1.7";"2";"1";"0.4";"1.1";"0.9";"35";"48";"25";"90";"1.8";"21.4";"4.8";"9.2";"1.3";"0.7";"9";"66";"74";"40";"30";"";"";"0.6";"0.2";"0.8";"0.4";"0.7";"0.9";"0.4";"0.5";"0.6";"0.2";"";"30";"10";"4.4";"3.8";"4.2";"6.1";"8.8";"70";"59"
"Gambia";"GAM";"GFF First Division";"16-06-2026 13:30";"NS";"Steve Biko";"";"";"Falcons";"";"";"";"";"";"";"14";"12";"53";"43";"";"27";"31";"45";"";"1.5";"2";"0.8";"0.9";"0.6";"0.8";"25";"50";"20";"90";"1.8";"17.4";"5.6";"8.5";"1.6";"1.3";"8";"84";"77";"50";"40";"";"";"0.6";"0.3";"0.2";"0.3";"0.8";"0.7";"0.4";"0.5";"0.2";"0.6";"";"40";"30";"3.2";"3.6";"4.9";"5.3";"8.8";"60";"54"
