"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora"
"World";"WOR";"World Cup";"25-06-2026 17:00";"NS";"Ecuador";"";"";"Germany";"";"";"4.5";"6.6";"3.7";"3.4";"9.1";"75";"60";"50";"35";"22.2";"10.4";"18.7";"8";"7.2";"7.6";"3.8";"7.2";"2.3";"1.8";"4";"50";"90";"40";"70";"7";"8";"4.9"
"World";"WOR";"World Cup";"25-06-2026 17:00";"NS";"Curacao";"";"";"Côte d'Ivoire";"";"";"3.7";"5.9";"4.4";"3.9";"9";"68";"63";"57";"26";"24.5";"12.1";"13.8";"14";"9.1";"8.6";"4.7";"4.3";"5.6";"2.6";"4";"25";"80";"44";"70";"6";"5.3";"5.8"
"World";"WOR";"World Cup";"25-06-2026 20:00";"NS";"Tunisia";"";"";"Netherlands";"";"";"4.1";"5.7";"5.8";"3";"9.3";"70";"60";"50";"25";"21.7";"9.1";"13.8";"12.1";"8.4";"7.4";"3";"5.4";"4.2";"2.3";"4";"30";"90";"40";"80";"6";"6.5";"5.1"
"World";"WOR";"World Cup";"25-06-2026 20:00";"NS";"Japan";"";"";"Sweden";"";"";"4.3";"4.1";"3.2";"5.1";"8.4";"45";"45";"35";"35";"22.2";"11.5";"10.2";"10";"12.8";"8.4";"4.8";"3.8";"3.4";"4.9";"4";"80";"40";"70";"30";"6";"7.5";"5.6"
"World";"WOR";"World Cup";"25-06-2026 23:00";"NS";"Paraguay";"";"";"Australia";"";"";"4.7";"3";"3.2";"4.8";"7.8";"50";"45";"25";"25";"18.6";"10";"7.5";"8";"11.7";"7.5";"4.7";"2.7";"3.1";"4.5";"4";"40";"10";"50";"10";"6";"7.3";"6.6"
"World";"WOR";"World Cup";"25-06-2026 23:00";"NS";"Türkiye";"";"";"United States";"";"";"7.9";"5.5";"4.1";"4.7";"11.1";"85";"85";"80";"75";"23.7";"16.4";"11.1";"10.6";"9.3";"8.6";"5.8";"4.2";"3.8";"3.4";"4";"40";"90";"80";"60";"7";"6";"4.4"
"Brazil";"BRA";"Serie B";"25-06-2026 20:30";"NS";"Cuiabá";"";"";"Londrina";"";"";"4.4";"5.8";"4.4";"6";"10.3";"75";"70";"65";"45";"23.4";"10.4";"12.2";"11.1";"13";"7.8";"4.2";"3.6";"3.4";"4.4";"10.4";"60";"30";"50";"40";"11";"8.6";"9.7"
"Finland";"FIN";"Ykkönen";"25-06-2026 13:00";"NS";"JJK";"";"";"Inter Turku II";"";"";"6.1";"4.5";"4.7";"7.1";"11.2";"95";"90";"65";"55";"22.8";"14.1";"9.2";"9.4";"12.8";"10.6";"6.3";"5.1";"3.8";"6.1";"10.8";"50";"10";"60";"20";"11";"8.8";"5.1"
"Finland";"FIN";"Ykkönen";"25-06-2026 13:00";"NS";"Jazz";"";"";"Tampere United";"";"";"3.7";"6.2";"6";"4.9";"10.4";"79";"72";"40";"35";"20.2";"7.9";"12.2";"11.2";"9.1";"9.6";"3.7";"5.2";"5.4";"5";"10.8";"30";"88";"20";"62";"11";"5.6";"5.1"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Olympique Dcheïra";"";"";"Ittihad Tanger";"";"";"3.4";"4";"4.4";"4.4";"8.1";"47";"26";"26";"26";"21.3";"9.3";"11.4";"10.6";"11.2";"8.8";"4.2";"3.9";"5.3";"4.3";"7.8";"30";"78";"30";"44";"8";"13.3";"9.5"
