"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"UTS Rabat";"";"";"Difaâ El Jadida";"";"";"4.1";"4.8";"3.3";"4.6";"8.4";"65";"35";"30";"15";"18.9";"9.5";"7.8";"9.6";"10.9";"8.3";"5";"3.7";"4.1";"3.8";"7.8";"80";"50";"40";"40";"8";"7.9";"6"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"RSB Berkane";"";"";"FAR Rabat";"";"";"3.5";"4.9";"4.3";"2.7";"7.7";"55";"30";"25";"10";"18.4";"9.7";"10.3";"8.9";"7.8";"6.7";"3.9";"3.8";"2.3";"3.4";"7.8";"50";"80";"40";"60";"8";"8.1";"9.2"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Wydad Casablanca";"";"";"Maghreb Fès";"";"";"5.2";"2.8";"3.6";"4.1";"7.8";"60";"35";"25";"15";"19.5";"11";"8.8";"10.9";"8.3";"8";"5.2";"4.5";"3.8";"2.4";"7.8";"50";"50";"60";"40";"8";"8.5";"8.8"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"Olympic Safi";"";"";"5.1";"3.8";"4.3";"4.3";"8.8";"75";"48";"37";"32";"19.2";"10.6";"9.7";"8.4";"9.7";"7.6";"3.7";"3.8";"3.9";"3.9";"7.8";"56";"40";"56";"30";"8";"8.8";"9.7"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Yacoub El Mansour";"";"";"Raja Casablanca";"";"";"3.6";"4.5";"3.3";"3";"7.2";"55";"30";"15";"10";"17.4";"8.6";"9.3";"8.6";"8.3";"7.4";"3.1";"3.7";"3.4";"4.5";"7.8";"40";"50";"50";"50";"8";"6.6";"7.8"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Kawkab Marrakech";"";"";"FUS Rabat";"";"";"2.7";"3.7";"3.5";"5.7";"7.8";"59";"33";"33";"27";"19.5";"10.8";"8.9";"10.8";"8.5";"8";"4.2";"3.8";"4";"4";"7.8";"50";"33";"40";"33";"8";"8.3";"6.8"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"CODM Meknès";"";"";"Hassania Agadir";"";"";"4.2";"6.3";"3.9";"4.1";"9.2";"70";"60";"45";"30";"18.4";"9.3";"9.3";"9.3";"8.8";"8.2";"4";"4.1";"3.7";"4.6";"7.8";"40";"40";"60";"60";"9";"13.3";"7.2"
"Sweden";"SWE";"Damallsvenskan";"25-06-2026 13:00";"NS";"Pitea W";"";"";"Hammarby W";"";"";"6.9";"5.8";"5.1";"6";"11.9";"95";"85";"85";"70";"19.5";"10.9";"10.7";"8.8";"8.7";"8.7";"4.8";"4.9";"4.1";"3.6";"10.7";"70";"50";"60";"60";"11";"9.9";"5.9"
"Chile";"CHI";"Chilean Cup";"25-06-2026 20:30";"NS";"Colo-Colo";"";"";"O'Higgins";"";"";"5.6";"6.6";"3.8";"4.3";"10.2";"80";"70";"45";"40";"27.6";"16.9";"15.5";"8.6";"14.1";"10.4";"7.1";"5.4";"2.9";"5.3";"0";"70";"70";"80";"60";"5";"5.3";"10.5"
"Chile";"CHI";"Chilean Cup";"25-06-2026 20:30";"NS";"Ñublense";"";"";"Univ. Concepción";"";"";"3.7";"4.4";"5";"5.7";"9.4";"60";"50";"40";"25";"26.4";"13.1";"12.8";"11.8";"15.1";"8.5";"4.3";"4";"3.8";"4.9";"0";"30";"60";"30";"50";"4";"7.6";"9.2"
"Australia";"AUS";"Northern Territory Premier League";"25-06-2026 06:00";"NS";"Darwin Hearts";"";"";"Port Darwin";"";"";"5.3";"6.3";"3.7";"4";"9.6";"74";"74";"52";"41";"25.4";"9.9";"17.4";"8.6";"15";"14.4";"4.7";"10.4";"5";"8.8";"8.9";"67";"78";"78";"80";"10";"5.2";"5.1"
"Australia";"AUS";"Queensland Premier League 2";"25-06-2026 06:30";"POSTPONED";"Grange Thistle";"";"";"SWQ Thunder";"";"";"6";"7.5";"5.6";"4.6";"11.8";"100";"90";"70";"55";"31.2";"15.9";"25.2";"12.1";"9.3";"20.2";"9";"16.8";"8.1";"6.4";"11";"60";"100";"60";"80";"11";"6.4";"11"
"Australia";"AUS";"Queensland NPL Youth League";"25-06-2026 06:30";"POSTPONED";"Queensland U16";"";"";"Eastern Suburbs U23";"";"";"5";"5";"4";"5.7";"9.8";"58";"58";"58";"58";"";"";"12.8";"";"10";"";"";"6.8";"";"5.2";"10.1";"";"56";"50";"22";"10";"";""
"Australia";"AUS";"Western Australia State League 1 Reserves";"25-06-2026 09:00";"NS";"Cockburn City Res.";"";"";"UWA Nedlands Res.";"";"";"5.4";"4.2";"3";"5.4";"9";"50";"44";"44";"32";"25.5";"15.2";"15.6";"11.8";"8.4";"14.3";"8.8";"8.6";"7.2";"4";"10";"25";"62";"62";"38";"9";"9.5";"6.5"
"Brazil";"BRA";"Brasileiro U20";"25-06-2026 15:00";"NS";"Vasco da Gama U20";"";"";"Criciuma U20";"";"";"4.7";"5.6";"5";"4.2";"9.8";"79";"69";"53";"47";"23.2";"13.2";"13.8";"9.7";"9.6";"8.3";"5.6";"5.3";"3.1";"2.6";"10.3";"11";"80";"44";"60";"10";"6.3";"11.5"
"Brazil";"BRA";"Brasileiro U20";"25-06-2026 15:00";"NS";"Bragantino U20";"";"";"Botafogo U20";"";"";"6.7";"5.6";"3.6";"6.2";"11";"90";"90";"84";"63";"23";"16.9";"10.9";"8.6";"9.8";"9.6";"6.2";"4.6";"4.3";"3.9";"10.3";"56";"40";"89";"40";"11";"6.5";"5.7"
"Brazil";"BRA";"Brasileiro U20";"25-06-2026 15:00";"NS";"Corinthians U20";"";"";"Flamengo RJ U20";"";"";"5.7";"6.3";"5.6";"3.9";"10.7";"90";"74";"54";"37";"25.2";"12.4";"14.2";"12.6";"11.1";"9.8";"4.4";"5.9";"4.8";"4.6";"10.3";"56";"60";"56";"70";"11";"7.3";"11.8"
"Brazil";"BRA";"Brasileiro U20";"25-06-2026 15:00";"NS";"Fluminense U20";"";"";"Palmeiras U20";"";"";"5.3";"6.2";"4.2";"3.5";"9.6";"70";"55";"45";"30";"24";"13.2";"14.3";"9.4";"11.1";"9.4";"5.4";"5.5";"4.1";"3.8";"10.3";"30";"90";"70";"60";"10";"6.6";"6"
"Brazil";"BRA";"Paulista U20";"25-06-2026 15:00";"NS";"América SP U20";"";"";"Ponte Preta U20";"";"";"1.8";"4.3";"6.3";"4.4";"8.4";"58";"53";"32";"16";"23.4";"9.4";"9.8";"17.3";"10.2";"10.3";"3.8";"4";"8.2";"4.6";"8.6";"38";"33";"10";"33";"9";"11.8";"6.1"
"Brazil";"BRA";"Maranhense 2";"25-06-2026 15:30";"NS";"Araioses";"";"";"Expressinho";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";""
"Finland";"FIN";"Kolmonen - Eastern Group";"25-06-2026 12:30";"NS";"Kultsu";"";"";"LAUTP / 2";"";"";"10.5";"1.8";"4.5";"7.8";"12.2";"88";"69";"69";"69";"31.1";"21.2";"8";"8";"25";"12.5";"8.8";"2.2";"3";"11";"10.4";"62";"50";"75";"0";"11";"9.2";"20"
"Finland";"FIN";"Kolmonen - Eastern Group";"25-06-2026 13:00";"NS";"Yllätys";"";"";"KuPS Akatemia II";"";"";"6.8";"6.4";"5.2";"3.7";"11";"86";"78";"72";"59";"26.2";"15.5";"16.1";"11.8";"9.1";"12.6";"8.2";"7.1";"5.8";"4.1";"10.4";"25";"86";"50";"86";"10";"7";"5.8"
"Finland";"FIN";"Kolmonen - Eastern Group";"25-06-2026 13:00";"NS";"Jyväskylä Blackbird";"";"";"Vaajakoski / Reds";"";"";"4";"4";"5.3";"7";"10.2";"100";"71";"42";"34";"26.2";"14.4";"8.2";"14";"15.8";"12.9";"7.4";"4.5";"5.2";"8.8";"10.4";"50";"25";"33";"25";"10";"4.6";"8.2"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 12:00";"NS";"ÅCF";"";"";"JyTy Turku";"";"";"3.6";"4.2";"7.1";"7.2";"11.1";"84";"71";"60";"55";"20.8";"7.2";"10";"12.5";"11.8";"9.4";"2.8";"4.4";"6";"5.4";"10";"25";"38";"12";"30";"10";"12";"10"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 12:30";"NS";"PiPS";"";"";"Peimari United";"";"";"4.5";"5.3";"4.9";"4.4";"9.6";"68";"62";"54";"27";"20.7";"8.6";"13";"9.9";"9.9";"9.4";"3.9";"5.6";"4.9";"4.3";"10";"38";"57";"50";"57";"10";"12.3";"9.3"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 13:00";"NS";"LBK";"";"";"Nykarleby IK";"";"";"3.4";"5";"4.4";"4.7";"8.8";"64";"46";"26";"26";"23.4";"10.6";"10.5";"12.8";"13";"11.5";"3.8";"4.2";"8";"7";"10";"40";"50";"40";"50";"10";"15.1";"6.2"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 13:00";"NS";"VPV";"";"";"SIF";"";"";"2";"4.3";"6";"2.8";"7.6";"58";"32";"12";"12";"18.4";"6.6";"8";"13.9";"8.4";"7.8";"2.7";"4.6";"4.9";"3.4";"10";"29";"44";"0";"56";"9";"4.1";"4"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 13:00";"NS";"Kiisto";"";"";"VIFK";"";"";"3.1";"6.5";"4.6";"1.3";"7.8";"44";"36";"14";"14";"24.2";"11.8";"18.5";"10.4";"7.8";"11.7";"5.8";"8.7";"4.5";"4.5";"10";"38";"100";"50";"83";"9";"3.5";"5.1"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 14:00";"NS";"Lasten";"";"";"Leki";"";"";"6.5";"4.4";"3.6";"7.3";"10.9";"66";"54";"48";"34";"27";"16.4";"16.1";"7.9";"13.7";"12.6";"7.6";"7.7";"3.1";"6.7";"10";"75";"57";"75";"14";"11";"3.7";"9.5"
"Finland";"FIN";"Kolmonen - Western Group";"25-06-2026 14:20";"NS";"Ylöjärvi United";"";"";"ACE";"";"";"3.8";"3";"5";"6.6";"9.2";"78";"64";"34";"22";"24.9";"13.9";"8.9";"11.5";"15.6";"11.6";"6.5";"2.8";"6.1";"7.8";"10";"38";"22";"25";"0";"10";"9.3";"6.4"
"Finland";"FIN";"Kolmonen - Southern Group";"25-06-2026 13:00";"NS";"Atlantis / PM";"";"";"TiPS";"";"";"5.8";"3.9";"5.5";"4.6";"9.9";"93";"70";"40";"25";"22.7";"12.2";"10.6";"10.5";"12.1";"13.2";"7.2";"6.4";"6.8";"6";"10";"33";"57";"33";"43";"10";"6.4";"5"
"Finland";"FIN";"Kolmonen - Southern Group";"25-06-2026 14:00";"NS";"PPJ / Ruoholahti";"";"";"NuPS";"";"";"3.8";"4.9";"6";"5.1";"9.9";"67";"67";"44";"38";"20.4";"8.6";"11.2";"13.9";"7.1";"10.9";"3.9";"5.6";"8.9";"3.4";"10";"44";"50";"22";"44";"10";"6.6";"8.6"
"Finland";"FIN";"Kolmonen - Southern Group";"25-06-2026 14:15";"NS";"HooGee";"";"";"EIF Akademi";"";"";"4.2";"5.6";"4.7";"4.6";"9.6";"68";"63";"47";"36";"20";"9.3";"10.8";"11.2";"8.7";"11.3";"4.3";"7";"5.9";"5.4";"10";"56";"60";"56";"50";"10";"7.8";"2.8"
"Finland";"FIN";"Kolmonen - Southern Group";"25-06-2026 14:15";"NS";"HPS II";"";"";"ToTe";"";"";"6.6";"6.1";"4.1";"3.4";"10.2";"75";"62";"50";"38";"21.2";"14";"11.5";"11.4";"5.6";"11";"6.1";"6.2";"6.2";"3.4";"10";"50";"88";"88";"75";"10";"5.6";"5.5"
"Faroe Islands";"FRO";"Faroe Islands Cup";"25-06-2026 14:30";"NS";"Víkingur";"";"";"HB";"";"";"7.8";"4";"3.4";"5.9";"10.6";"80";"75";"65";"60";"21.1";"12";"11";"8.3";"10.9";"8.8";"5.1";"4.9";"3.1";"4.4";"11.8";"80";"30";"70";"30";"11";"6.3";"8.5"
"Iceland";"ISL";"Besta deild";"25-06-2026 16:15";"NS";"Breidablik";"";"";"Víkingur Reykjavík";"";"";"7.7";"7.5";"5.1";"5.1";"12.7";"94";"94";"79";"68";"28.8";"17.3";"17.3";"15.2";"7.6";"11";"6.4";"7.3";"5.7";"2.7";"12.6";"44";"60";"78";"70";"12";"4.4";"4.2"
"Iceland";"ISL";"4. Deild";"25-06-2026 16:15";"NS";"Álafoss";"";"";"Úlfarnir";"";"";"2.7";"6";"7.5";"8.9";"12.6";"92";"92";"92";"66";"28.9";"8";"11.9";"23.8";"14.1";"13.3";"3.4";"4.7";"11.6";"6.9";"12.8";"17";"43";"0";"29";"13";"6.7";"6.6"
"Iceland";"ISL";"4. Deild";"25-06-2026 16:15";"NS";"Vaengir Jupiters";"";"";"Hafnir";"";"";"5.4";"6.5";"5.8";"6.8";"12.2";"81";"81";"81";"64";"26.6";"14.9";"13.3";"9.5";"15.3";"13.6";"8.1";"5.8";"5.2";"7.8";"12.8";"75";"50";"38";"50";"12";"5.5";"14.8"
"Iceland";"ISL";"3. Deild";"25-06-2026 14:00";"NS";"Tindastóll";"";"";"Sindri";"";"";"6.7";"5.7";"5.2";"5.3";"11.4";"75";"75";"58";"50";"19.8";"10";"7.7";"8.3";"13.7";"9";"4.8";"2.7";"3.8";"6.7";"12.7";"50";"67";"67";"33";"12";"4.3";"6.4"
"Kazakhstan";"KAZ";"First Division";"25-06-2026 09:00";"NS";"Sport Academy Kairat";"";"";"Khan Tengri";"";"";"4.2";"3.3";"2.4";"3.2";"6.6";"38";"32";"16";"16";"19";"16.7";"7.7";"6";"7.7";"4.2";"4";"1.7";"1.3";"1.5";"8.5";"75";"44";"60";"44";"8";"2.9";"5.9"
"Kazakhstan";"KAZ";"First Division";"25-06-2026 09:00";"NS";"Yelimay II";"";"";"FC Turan";"";"";"3.6";"3.9";"5.5";"1.9";"7.4";"50";"38";"31";"25";"17.8";"8.8";"7.7";"12.7";"6.3";"3.4";"1";"1.8";"2";"1.8";"8.5";"38";"62";"38";"62";"7";"7.5";"3.8"
"Kazakhstan";"KAZ";"First Division";"25-06-2026 10:00";"NS";"Jaiyq";"";"";"Akademiya Ontustik";"";"";"3.3";"4.7";"5";"4.9";"9";"71";"50";"42";"36";"14";"4.3";"8";"9.4";"6.2";"2.5";"0.9";"1.3";"1.9";"1";"8.5";"17";"43";"14";"57";"9";"3.6";"2.6"
"Kazakhstan";"KAZ";"First Division";"25-06-2026 10:00";"NS";"Aktobe Jas";"";"";"Arys";"";"";"4.1";"3.1";"6.1";"6.4";"9.9";"58";"52";"46";"42";"16.4";"5.8";"8.6";"9.2";"9.3";"4.9";"2";"1.4";"3.5";"2.9";"8.5";"57";"38";"29";"20";"9";"4.5";"7"
"Kuwait";"KUW";"Zain Premier League";"25-06-2026 13:05";"NS";"Al Fahaheel";"";"";"Al Qadsia";"";"";"5.3";"5.4";"5.3";"3.8";"9.9";"80";"65";"55";"45";"22";"11.4";"10.5";"11.5";"10.5";"9.8";"5.6";"5.1";"5.6";"3.4";"9.2";"50";"50";"40";"50";"10";"11.4";"7.5"
"Kuwait";"KUW";"Zain Premier League";"25-06-2026 14:45";"NS";"Al Kuwait";"";"";"Kazma";"";"";"5.6";"3.7";"3.6";"2.6";"7.8";"45";"35";"30";"15";"21.5";"12.3";"11.6";"9.6";"9.5";"9";"5.5";"4.5";"3.7";"4.4";"9.2";"60";"80";"80";"60";"8";"4.9";"8.9"
"Kuwait";"KUW";"Zain Premier League";"25-06-2026 15:45";"NS";"Al Salmiyah";"";"";"Al Arabi SC";"";"";"4.7";"5.3";"4.5";"4.1";"9.3";"65";"55";"55";"50";"21.6";"11";"13.6";"10";"8.5";"8.3";"4.1";"5";"4";"3.5";"9.2";"60";"50";"40";"50";"9";"7.3";"10.5"
"Lebanon";"LIB";"Premier League";"25-06-2026 09:30";"NS";"Al Nejmeh";"";"";"Al-Tadamon Sour";"";"";"5";"2.4";"3";"4.4";"7.4";"48";"34";"28";"28";"13";"9.2";"3.8";"5";"8";"5.1";"3.5";"2";"1.3";"3.4";"8.4";"43";"38";"43";"12";"8";"7.7";"7.6"
"Lebanon";"LIB";"Premier League";"25-06-2026 10:00";"NS";"Sagesse";"";"";"Al Mabarrah";"";"";"5";"2.1";"3";"4.3";"7.2";"58";"32";"12";"12";"15.4";"8";"5";"8.4";"9.4";"7";"4";"2.8";"3.6";"3.6";"8.4";"57";"44";"86";"22";"7";"10";"6.2"
"Latvia";"LVA";"Virsliga";"25-06-2026 11:00";"NS";"Grobiņa";"";"";"Auda";"";"";"4.9";"5.2";"5.3";"4.3";"9.8";"90";"70";"55";"30";"22.7";"9.7";"13.7";"13";"9";"8.2";"3";"4.7";"4.7";"3.9";"9.6";"30";"70";"50";"50";"10";"9.4";"5"
"Latvia";"LVA";"Virsliga";"25-06-2026 12:00";"NS";"FC Daugavpils";"";"";"Riga";"";"";"5.3";"5.3";"4.9";"2.9";"9.2";"65";"55";"45";"35";"26.2";"14";"16.2";"13.5";"8.6";"8.8";"4.3";"6.5";"4.3";"2.5";"9.6";"30";"30";"60";"70";"9";"11.9";"4.4"
"Latvia";"LVA";"Virsliga";"25-06-2026 14:00";"NS";"Super Nova";"";"";"FS Jelgava";"";"";"3.4";"5.5";"6.9";"6";"10.9";"90";"75";"55";"45";"25.8";"8.8";"12.2";"14.5";"16.1";"8.2";"3.2";"3.6";"4.8";"4.7";"9.6";"50";"50";"30";"40";"11";"5.9";"12.4"
"Norway";"NOR";"3. Division - Group 1";"25-06-2026 14:30";"NS";"Konnerud";"";"";"IF Ready";"";"";"5.1";"6";"7.2";"4.2";"11.3";"79";"61";"56";"51";"21.5";"6.1";"13";"13.6";"10.1";"9.4";"2.6";"6.8";"5.6";"3.9";"10.7";"38";"90";"38";"70";"11";"3.8";"4.5"
"Norway";"NOR";"3. Division - Group 2";"25-06-2026 14:00";"NS";"Strindheim";"";"";"Melhus";"";"";"5.4";"5.8";"3.8";"3.4";"9.2";"90";"50";"40";"20";"21";"13";"14";"8.8";"6.2";"9.9";"6.2";"6.4";"4";"3.2";"10.6";"40";"60";"80";"80";"10";"5.4";"5.8"
"Norway";"NOR";"3. Division - Group 3";"25-06-2026 13:00";"NS";"Åsane II";"";"";"Os";"";"";"6";"";"4.7";"";"";"";"";"";"";"";"8.5";"";"13.7";"";"";"4";"";"5.5";"";"10.4";"67";"";"83";"";"";"";""
"Norway";"NOR";"3. Division - Group 3";"25-06-2026 14:00";"NS";"Austevoll";"";"";"Fyllingsdalen";"";"";"";"3.5";"";"7.8";"";"";"";"";"";"";"";"7.2";"";"10";"";"";"2";"";"6.5";"10.4";"";"25";"";"0";"";"";""
"Norway";"NOR";"3. Division - Group 4";"25-06-2026 13:00";"NS";"Våg";"";"";"Viking II";"";"";"7.6";"6.2";"4.1";"7.1";"12.6";"100";"88";"82";"64";"25.2";"10.9";"16";"10.7";"12.8";"11.8";"4.1";"7.8";"5.6";"6";"11";"88";"33";"88";"56";"11";"8.4";"6.4"
"Norway";"NOR";"3. Division - Group 4";"25-06-2026 13:00";"NS";"Staal Jørpeland";"";"";"Hinna";"";"";"3.5";"3.7";"7.5";"9.3";"12";"100";"80";"73";"60";"25.6";"8.8";"12.1";"13.2";"17";"12";"4.5";"5.1";"4.5";"10";"11";"75";"14";"25";"0";"12";"4.6";"7.1"
"Norway";"NOR";"3. Division - Group 6";"25-06-2026 12:00";"NS";"Bjørkelangen";"";"";"Sarpsborg 08 II";"";"";"3.6";"4.9";"6";"4.1";"9.3";"86";"76";"66";"24";"23.6";"7.6";"10.9";"18.6";"10.3";"11.2";"3.8";"4.3";"8.8";"5.6";"9.8";"20";"14";"20";"71";"9";"12.7";"6.4"
"Norway";"NOR";"3. Division - Group 6";"25-06-2026 14:30";"NS";"Brumunddal";"";"";"Gjøvik-Lyn";"";"";"3.5";"5.7";"6.3";"4.1";"9.9";"92";"62";"46";"38";"17.2";"6.3";"8.7";"13.7";"5.6";"9.4";"3.5";"4.9";"8";"2.6";"9.8";"50";"57";"33";"57";"9";"5.2";"7.9"
"Sierra Leone";"SLE";"Premier League";"25-06-2026 13:30";"NS";"Kallon";"";"";"SLIFA Mount Aureol";"";"";"4";"4.8";"4.2";"4";"8.5";"58";"52";"41";"24";"19.4";"7.8";"8.1";"13.4";"9.4";"8";"2.8";"3.3";"6.2";"3.9";"7.7";"38";"25";"38";"44";"8";"15.6";"6.8"
"Sweden";"SWE";"Division 2: Norra Gotaland";"25-06-2026 14:00";"NS";"IFK Skovde";"";"";"Lidköping";"";"";"4.1";"4";"5.5";"4.4";"9";"58";"52";"46";"46";"23.4";"13.1";"8";"10.5";"15.1";"10";"6.2";"3.4";"3.8";"6.7";"10";"40";"57";"30";"29";"10";"5.2";"8.9"
"Sweden";"SWE";"Division 2: Norra Svealand";"25-06-2026 15:00";"NS";"Helges";"";"";"Sunnersta";"";"";"5.3";"3.6";"3";"5.1";"8.5";"62";"38";"31";"31";"22.8";"9";"13.3";"13.7";"9.6";"12";"4";"5.3";"10.3";"4.3";"9.5";"33";"57";"67";"29";"9";"11.2";"5.5"
"Sweden";"SWE";"Division 2: Sodra Svealand";"25-06-2026 14:00";"NS";"Nyköping";"";"";"FC Nacka Iliria";"";"";"4";"4.1";"4.2";"4.9";"8.6";"58";"53";"53";"47";"19.9";"9.7";"8";"9.5";"12.6";"10.2";"5.8";"3.8";"3.7";"7.2";"9.4";"33";"56";"33";"44";"9";"5.4";"8"
"Sweden";"SWE";"Division 2: Vastra Gotaland";"25-06-2026 14:00";"NS";"Galtabäcks";"";"";"Böljan";"";"";"6.2";"5.4";"5.4";"4.7";"10.9";"84";"67";"67";"50";"25";"10.9";"14.6";"13.2";"11.2";"11";"4.4";"6.8";"6";"4.8";"10";"22";"33";"56";"56";"10";"10.9";"8.6"
"United States";"USA";"USL League Two";"25-06-2026 00:00";"POSTPONED";"AMSG";"";"";"Capo II";"";"";"2.8";"3.8";"4.8";"6.8";"9";"62";"50";"50";"38";"26.8";"7";"12.2";"17.5";"16.8";"11.6";"2.8";"5.2";"7.2";"8";"8.9";"50";"25";"25";"0";"9";"7.8";"8.1"
"United States";"USA";"USL League Two";"25-06-2026 20:00";"NS";"Seacoast United Phantoms";"";"";"Boston";"";"";"2.8";"5.1";"2.5";"4.7";"7.6";"28";"28";"28";"28";"26";"14.8";"11.4";"11.5";"14.3";"13.2";"7";"6";"5.8";"7.7";"8.9";"67";"57";"50";"43";"8";"8.2";"6.7"
"United States";"USA";"USL League Two";"25-06-2026 21:00";"NS";"Long Island Rough Riders";"";"";"Cedar Stars Rush";"";"";"4.9";"5.5";"3.1";"3.8";"8.6";"68";"50";"31";"31";"24.6";"16.5";"13";"10.1";"9.7";"12.4";"7.5";"6.3";"4.2";"6.7";"8.9";"62";"67";"62";"50";"8";"9.2";"8.1"
"United States";"USA";"USL League Two";"25-06-2026 21:00";"NS";"Hattiesburg";"";"";"Jackson Boom";"";"";"2.5";"";"3";"";"";"";"";"";"";"";"9";"";"12";"";"";"5.5";"";"4";"";"8.9";"100";"";"50";"";"";"";""
"United States";"USA";"USL League Two";"25-06-2026 22:00";"NS";"Flatirons Rush";"";"";"Utah United";"";"";"";"7.8";"";"2.8";"";"";"";"";"";"";"";"10.2";"";"5.4";"";"";"5.6";"";"3.4";"8.9";"";"60";"";"80";"";"";""
