"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"World Cup";"25-06-2026 17:00";"NS";"Ecuador";"";"";"Germany";"";"";"2.1";"1";"1.7";"1.7";"3.2";"6";"60";"55";"30";"15";"3";"3";"1.4";"1.6";"2";"1"
"World";"WOR";"World Cup";"25-06-2026 17:00";"NS";"Curacao";"";"";"Côte d'Ivoire";"";"";"1.4";"1.1";"2";"1";"2.8";"6";"56";"41";"25";"12";"3";"2.6";"1.9";"1";"1.2";"1.1"
"World";"WOR";"World Cup";"25-06-2026 20:00";"NS";"Tunisia";"";"";"Netherlands";"";"";"1.7";"0.9";"2.5";"1.7";"3.4";"6";"60";"30";"20";"20";"3";"3";"2.2";"1.7";"1.5";"0.7"
"World";"WOR";"World Cup";"25-06-2026 20:00";"NS";"Japan";"";"";"Sweden";"";"";"1.1";"1.4";"1";"1.8";"2.7";"6";"45";"15";"15";"5";"3";"2.6";"0.9";"1.7";"1.1";"1.4"
"World";"WOR";"World Cup";"25-06-2026 23:00";"NS";"Paraguay";"";"";"Australia";"";"";"1.8";"1.6";"1.6";"1.5";"3.2";"6";"55";"50";"20";"15";"3";"3.2";"1.6";"1.5";"1.8";"1.6"
"World";"WOR";"World Cup";"25-06-2026 23:00";"NS";"Türkiye";"";"";"United States";"";"";"1.9";"1.6";"1.2";"2.1";"3.4";"6";"60";"45";"25";"20";"3";"3.4";"1.2";"2";"1.9";"1.6"
"Brazil";"BRA";"Serie B";"25-06-2026 20:30";"NS";"Cuiabá";"";"";"Londrina";"";"";"2";"2.7";"2.1";"2.5";"4.6";"5.6";"75";"75";"50";"35";"5.2";"4.4";"2";"2.4";"2";"2.4"
"Finland";"FIN";"Ykkönen";"25-06-2026 13:00";"NS";"JJK";"";"";"Inter Turku II";"";"";"2.3";"2.7";"1.9";"2.2";"4.6";"3.9";"90";"80";"60";"30";"3.6";"4.3";"1.9";"2.2";"2.2";"2.3"
"Finland";"FIN";"Ykkönen";"25-06-2026 13:00";"NS";"Jazz";"";"";"Tampere United";"";"";"1.8";"0.8";"1.6";"1.4";"2.8";"3.9";"63";"41";"15";"5";"3.6";"2.7";"1.5";"1.4";"1.7";"0.8"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Olympique Dcheïra";"";"";"Ittihad Tanger";"";"";"2.4";"2.9";"2.4";"2.6";"5.1";"5.1";"84";"69";"64";"47";"4.7";"5";"2.3";"2.4";"2.4";"2.9"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"UTS Rabat";"";"";"Difaâ El Jadida";"";"";"3.6";"2.5";"3";"1.7";"5.4";"5.1";"90";"80";"70";"45";"4.7";"5";"2.8";"1.6";"3.5";"2.1"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"RSB Berkane";"";"";"FAR Rabat";"";"";"1.9";"1.9";"2.7";"2.6";"4.6";"5.1";"85";"60";"35";"25";"4.7";"4.4";"2.6";"2.6";"1.7";"1.9"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"Wydad Casablanca";"";"";"Maghreb Fès";"";"";"2.1";"2.7";"2.7";"3.8";"5.6";"5.1";"100";"85";"65";"40";"4.7";"5.4";"2.6";"3.4";"2.1";"2.7"
"Morocco";"MAR";"Botola Pro";"25-06-2026 14:00";"NS";"CR Khemis Zemamra";"";"";"Olympic Safi";"";"";"1.4";"3.1";"3.2";"2.5";"5.2";"5.1";"100";"79";"58";"31";"4.7";"4.9";"3";"2.5";"1.4";"2.9"
