"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global"
"Sweden";"SWE";"Damallsvenskan";"24-06-2026 14:00";"NS";"AIK W";"";"";"Eskilstuna United W";"";"";"";"";"52";"70";"75";"24";"";"55";"41";"1.8";"1.4";"56";"37";"6";"6.9";"10";"30";"70";"0";"50";"40";"30";"20";"20";"40";"60";"47";"80";"60";"70";"80";"50";"60";"2x1";"0x1";"17.1";"2.2";"0.7";"1.5";"1";"2.7";"48";"46";"4";"5";"10";"10";"13.2";"4.8";"7.8";"8.4";"7.6";"4.1";"3.4";"6.1";"1.4";"0.9";"0.9";"1.6";"0.8";"2.1";"1.6"
"Chile";"CHI";"Chilean Cup";"24-06-2026 17:00";"NS";"La Serena";"";"";"Cobresal";"";"";"";"";"18";"32";"48";"27";"";"50";"42";"0.9";"0.6";"46";"41";"7.4";"10";"10";"30";"50";"20";"20";"20";"30";"0";"50";"80";"30";"20";"50";"20";"70";"100";"80";"80";"2x4";"1x0";"27.4";"1.4";"0.8";"2.5";"2.1";"3.4";"50";"42";"";"";"10";"10";"13.6";"12.1";"12.4";"16.7";"8.9";"4.7";"5.2";"4.6";"3.2";"2.6";"2.2";"1.9";"1.6";"4.2";"0"
"Chile";"CHI";"Chilean Cup";"24-06-2026 20:30";"NS";"Concepcion";"";"";"Huachipato";"";"";"";"";"49";"63";"41";"48";"";"48";"42";"1";"1.8";"47";"41";"8.1";"5.6";"10";"10";"50";"40";"30";"50";"10";"30";"60";"20";"33";"60";"40";"80";"90";"70";"70";"50";"1x2";"0x1";"26";"1.2";"1.4";"1.6";"1.2";"2.7";"47";"46";"";"";"10";"10";"12.8";"10.5";"13.7";"15.1";"8.2";"4.2";"4.3";"4.2";"3.8";"2.1";"2.8";"2.7";"2.6";"5.1";"0"
"Chile";"CHI";"Chilean Cup";"24-06-2026 20:30";"NS";"Unión La Calera";"";"";"Universidad Chile";"";"";"";"";"66";"77";"41";"48";"";"48";"59";"1.5";"1.5";"44";"56";"6.5";"7.6";"10";"30";"50";"20";"40";"40";"30";"30";"30";"30";"50";"50";"70";"70";"70";"70";"60";"60";"1x2";"1x0";"23.7";"1.2";"1.4";"1.1";"0.8";"2.2";"48";"58";"";"";"10";"10";"10.6";"14.2";"12.1";"10.5";"8.1";"4.3";"4";"3.5";"4.4";"2.4";"3";"3.4";"2.9";"5.8";"0"
"Argentina";"ARG";"Copa Santa Fe";"24-06-2026 21:00";"NS";"Los Andes Alcorta";"";"";"Gödeken";"";"";"";"";"";"";"";"";"";"42";"";"1.2";"";"7";"";"";"";"";"";"";"";"25";"";"50";"";"25";"";"42";"";"75";"";"50";"";"75";"";"";"";"";"1.5";"";"1.6";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Australia";"AUS";"Northern Nsw";"24-06-2026 07:00";"POSTPONED";"Kahibah";"";"";"Adamstown Rosebuds";"";"";"3.15";"1.87";"10";"46";"51";"58";"2";"41";"49";"1";"1.3";"53";"55";"7.1";"6.1";"3";"67";"33";"0";"30";"40";"10";"10";"60";"50";"33";"43";"40";"50";"90";"90";"70";"60";"0x4";"0x2";"25.5";"1.5";"1.7";"2.7";"1.7";"3.8";"45";"50";"12";"11";"10";"10";"10.6";"10.3";"18.1";"12";"12.9";"9.4";"5.6";"5.6";"5.2";"2.1";"1.9";"1.6";"0.6";"3";"3.1"
"Australia";"AUS";"Northern Nsw";"24-06-2026 07:00";"POSTPONED";"Charlestown Azzurri";"";"";"Cooks Hill United";"";"";"2.01";"3.06";"42";"42";"54";"54";"5";"49";"49";"1";"1.6";"63";"61";"8.9";"6.3";"8";"25";"50";"25";"30";"50";"10";"10";"60";"40";"33";"53";"40";"60";"90";"90";"70";"50";"0x2";"1x3";"25.1";"1.6";"1.6";"1.8";"1.8";"3.4";"54";"50";"9";"7";"10";"10";"14.3";"10.1";"13.7";"12.1";"13.8";"8.7";"5.8";"8.3";"4.8";"1.6";"1.2";"2.4";"1";"3.1";"3.1"
"Australia";"AUS";"Northern Territory Premier League";"24-06-2026 06:00";"NS";"Palmerston Rovers";"";"";"Mindil Aces";"";"";"";"";"2";"66";"51";"100";"";"42";"58";"0.9";"1.9";"46";"57";"6.7";"3.9";"2";"50";"50";"0";"30";"60";"0";"10";"70";"30";"30";"63";"30";"70";"100";"90";"70";"40";"0x3";"0x4";"22.8";"1.5";"3.4";"4.2";"1.1";"5.1";"44";"48";"7";"3";"10";"10";"10.1";"13.4";"16.4";"5.8";"13.5";"10.4";"2.8";"6";"7.8";"1.2";"1";"0.8";"1";"2";"2.6"
"Australia";"AUS";"Queensland Premier League 2";"24-06-2026 07:30";"POSTPONED";"Brisbane Knights";"";"";"Souths United";"";"";"3.87";"1.62";"0";"42";"48";"65";"2";"38";"48";"0.6";"1.8";"43";"56";"7.9";"6.5";"";"";"";"";"20";"60";"0";"0";"80";"40";"20";"60";"20";"60";"100";"100";"80";"40";"3x4";"1x2";"28.4";"1.4";"1.9";"3";"1.8";"4.1";"44";"53";"12";"5";"10";"10";"11.1";"12.3";"20.9";"12.3";"15.6";"12.6";"6.6";"5.4";"6.8";"2.3";"1.4";"1";"1.6";"3.2";"3.4"
"Australia";"AUS";"Northern NSW Reserve League";"24-06-2026 05:00";"NS";"Kahibah Res.";"";"";"Adamstown Rosebuds Res.";"";"";"2.44";"2.13";"2";"35";"54";"54";"5";"35";"42";"0.8";"0.7";"43";"44";"4.7";"6.9";"";"";"";"";"20";"10";"20";"40";"60";"50";"27";"23";"40";"50";"80";"60";"80";"90";"0x4";"1x1";"26.7";"1.6";"1.6";"3.7";"2";"4.4";"38";"47";"12";"9";"10";"10";"7.6";"11.1";"17.8";"16.9";"15.8";"9.8";"10.3";"4.8";"6.6";"1";"1.7";"1.2";"1.6";"2.8";"2.6"
