"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global"
"World";"WOR";"Friendly International";"09-06-2026 01:30";"FT";"Vanuatu";"2";"2";"Fiji";"1";"2";"1.55";"5.00";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 06:30";"CANCELLED";"Equatorial Guinea";"";"";"Comoros";"";"";"2.52";"2.52";"";"";"";"2";"";"17";"";"";"";"";"";"";"";"";"0";"";"0.5";"";"";"";"";"";"";"";"";"";"0.5";"";"";"";"";"50";"";"";"";"0";"";"0.5";"";"";"";"0";"";"0";"";"";"0";"";"8";"";"5";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 07:00";"CANCELLED";"Botswana";"";"";"Niger";"";"";"";"";"";"";"1";"2";"50";"56";"";"17";"24";"42";"";"1.5";"2";"0.5";"0.7";"1.5";"0.3";"16";"42";"25";"100";"2.8";"";"";"";"1.5";"1.7";"";"52";"100";"50";"67";"";"";"0";"0";"1.5";"0.3";"0.6";"0.9";"0";"0";"0.5";"0.7";"";"50";"33";"";"3.7";"";"4.3";"9";"";""
"World";"WOR";"Friendly International";"09-06-2026 08:30";"FT";"Philippines";"5";"1";"Myanmar";"1";"0";"1.38";"7.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 08:35";"FT";"China PR";"0";"0";"Thailand";"0";"0";"1.90";"4.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 09:00";"FT";"Cambodia";"2";"0";"Hong Kong";"1";"0";"3.10";"2.23";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 09:00";"CANCELLED";"Tanzania";"";"";"Rwanda";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 10:00";"FT";"Indonesia";"1";"0";"Mozambique";"1";"0";"1.25";"10.00";"";"";"1";"";"67";"";"";"";"";"";"";"";"";"2.3";"";"0.3";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"67";"";"";"";"1.3";"";"0.3";"";"";"";"0";"";"1";"";"";"67";"";"4.7";"";"4.3";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 11:00";"CANCELLED";"Bahrain";"";"";"Syria";"";"";"2.28";"3.20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International";"09-06-2026 11:30";"FT";"Kyrgyz Republic";"0";"0";"Palestine";"0";"0";"2.98";"2.56";"";"";"1";"";"11";"";"";"";"";"";"";"";"";"0.7";"";"2";"";"";"";"";"";"";"";"";"";"0.3";"";"";"";"";"33";"";"";"";"0";"";"1.7";"";"";"";"0.3";"";"0.7";"";"";"0";"";"";"";"";"";"";"";""
