"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"World Cup";"11-06-2026 16:00";"FT";"Mexico";"2";"0";"South Africa";"1";"0";"1.42";"8.45";"1.52";"";"1";"100";"70";"54";"51";"44";"50";"56";"44";"2";"0";"50";"60";"50";"70";"57";"10";"10";"5.2";"4.1";"2.6";"3.7";"7.8";"3.4";"1.6";"0.9";"1.7";"1.8";"3";"1.7";"2.4";"3.8";"4.4";"";"58";"36";"32";"39";"44";"94";"84";"89";"67";"50";"78";"33";"78";"67";"56";"56";"0.6";"0.1";"18.2";"11.4";"12.3";"6.3";"6.4"
"World";"WOR";"World Cup";"11-06-2026 23:00";"FT";"Korea Republic";"2";"1";"Czech Republic";"0";"0";"2.60";"2.94";"1.42";"";"5";"63";"77";"51";"65";"50";"60";"60";"30";"";"";"";"60";"50";"63";"63";"10";"10";"5.1";"5.7";"3.3";"2.8";"8.4";"2.6";"2.3";"1.5";"1.5";"2.5";"3";"1.8";"1.1";"4";"4.2";"";"65";"45";"40";"45";"45";"75";"70";"75";"70";"70";"80";"90";"70";"50";"70";"50";"0.4";"0.3";"19.6";"9.6";"12";"8.3";"9.3"
"World";"WOR";"Friendly International";"11-06-2026 01:00";"CANCELLED";"Austria";"";"";"Guatemala";"";"";"1.22";"17.50";"";"8";"3";"100";"32";"92";"31";"30";"40";"40";"44";"";"";"";"80";"20";"83";"27";"10";"10";"4.1";"4.5";"3.6";"4.8";"8.5";"2.2";"2.2";"1.7";"1.9";"1.9";"2.8";"1.9";"3.4";"4";"5";"9";"60";"50";"40";"32";"48";"85";"70";"90";"60";"30";"70";"44";"60";"33";"20";"33";"0.2";"0.4";"22.4";"11.4";"10.2";"9.2";"13.9"
"Finland";"FIN";"Ykkönen";"11-06-2026 12:30";"FT";"Tampere United";"3";"0";"OLS";"2";"0";"1.72";"3.83";"";"11";"1";"84";"70";"85";"65";"25";"56";"38";"44";"5";"20";"40";"70";"40";"77";"50";"10";"10";"6.1";"5.9";"4.6";"6";"11.4";"4.4";"2.9";"2.4";"2.1";"1.8";"3";"2.2";"3.9";"5.9";"5.4";"10.7";"88";"76";"58";"72";"57";"64";"48";"52";"62";"44";"75";"56";"62";"67";"62";"33";"0.6";"0.3";"26.6";"13.4";"15.2";"9.6";"15"
"Asia";"AFC";"Aff Championship U19";"11-06-2026 06:00";"FT";"Thailand U19";"4";"0";"Cambodia U19";"2";"0";"1.22";"8.84";"1.43";"10";"3";"88";"46";"85";"51";"33";"57";"14";"57";"2";"0";"100";"70";"40";"77";"43";"10";"10";"5.9";"4.1";"2.2";"6.6";"9.4";"3.3";"1.7";"1.4";"2.4";"4.3";"2.4";"1.4";"4.1";"4.4";"6.2";"10";"64";"58";"50";"50";"50";"62";"62";"78";"67";"43";"57";"43";"57";"43";"29";"43";"0.1";"0.3";"17.4";"11.7";"9";"3.8";"10.4"
"Asia";"AFC";"Aff Championship U19";"11-06-2026 10:15";"FT";"Indonesia U19";"0";"1";"Australia U19";"0";"0";"3.85";"1.75";"1.40";"9";"2";"88";"70";"100";"100";"62";"33";"50";"38";"";"";"";"100";"40";"100";"57";"10";"10";"3.8";"5.2";"3.2";"4.6";"8.4";"1.8";"2.8";"1.6";"2.5";"2";"2.6";"1.6";"2.2";"4.3";"4.2";"10";"47";"41";"34";"38";"44";"72";"72";"75";"50";"56";"38";"50";"50";"38";"38";"50";"0.4";"0.6";"17.3";"10.1";"10.1";"5.2";"9.1"
"Austria";"AUT";"Landesliga: Tirol";"11-06-2026 15:00";"FT";"Kematen";"2";"3";"Silz / Mötz";"0";"3";"1.95";"2.96";"";"";"1";"35";"21";"68";"88";"";"";"";"";"8";"25";"62";"50";"40";"53";"40";"10";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Austria";"AUT";"Landesliga: Salzburg";"11-06-2026 15:00";"FT";"Hallwang";"2";"5";"Straßwalchen";"0";"2";"";"";"";"8";"";"2";"25";"31";"65";"67";"67";"67";"33";"10";"40";"60";"10";"40";"10";"40";"10";"10";"2";"4";"4";"4";"7";"1";"2.3";"2";"2.3";"1";"1.7";"2";"1.7";"3.8";"3.2";"8.8";"50";"0";"0";"34";"0";"100";"100";"100";"33";"33";"33";"33";"33";"33";"0";"33";"0";"0";"14.6";"3.3";"9.7";"10";"6.3"
"Brazil";"BRA";"Baiano 2";"11-06-2026 15:00";"FT";"SSA";"8";"0";"Camaçari U20";"5";"0";"";"";"";"9";"";"88";"2";"54";"17";"60";"33";"20";"";"";"";"";"60";"0";"67";"3";"10";"10";"3.8";"2.7";"3.8";"5.7";"8";"2.2";"";"2.4";"";"1.6";"";"1.4";"";"";"";"9.4";"64";"54";"44";"";"";"84";"66";"";"40";"33";"40";"";"60";"";"40";"";"0";"";"";"8.4";"";"6.8";""
"Brazil";"BRA";"Brasileiro U20";"11-06-2026 15:00";"FT";"Vasco da Gama U20";"2";"1";"Cuiabá U20";"2";"0";"1.23";"10.32";"";"9";"3";"84";"46";"61";"27";"30";"50";"60";"67";"2";"100";"0";"70";"20";"73";"23";"10";"10";"4.1";"1.5";"5.4";"4.8";"7.9";"2.5";"0.8";"1.7";"2";"1.6";"0.7";"3.7";"2.8";"3.5";"4.4";"10.3";"60";"46";"25";"30";"46";"90";"80";"95";"40";"17";"20";"50";"60";"0";"20";"0";"0.2";"0.2";"22";"13.2";"7.2";"12.1";"11.4"
