"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Búzios";"0";"2";"Cardoso Moreira";"0";"1";"";"";"";"25";"0";"0";"50";"75";"100";"0";"100";"50";"0";"0";"0.5";"";"";"9.5";"";"9.5";"";"";"5";"";"3.5";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Carioca C";"08-06-2026 16:00";"FT";"Céres";"2";"4";"Tigres do Brasil";"0";"3";"";"";"";"0";"0";"0";"0";"50";"100";"50";"50";"50";"50";"0";"0";"23.8";"9";"7.5";"16";"15";"7.2";"3";"4";"5.5";"2";"1.5";"1.5";"2";"1.5";"3.2";"6.5";"8.5";"4.5";"3";"11.2"
"Chile";"CHI";"Segunda División";"08-06-2026 16:30";"FT";"Provincial Ovalle";"1";"1";"Trasandino";"0";"1";"";"";"";"0";"0";"0";"0";"75";"100";"0";"25";"100";"75";"0";"0.2";"18.6";"10.3";"10";"5";"11.8";"9";"4.3";"4";"3.3";"6.2";"1.3";"2.5";"2.7";"2.2";"4.4";"2.3";"6";"6.3";"4";"9.4"
"Paraguay";"PAR";"Copa Paraguay";"08-06-2026 13:00";"AWARDED";"Naciones Unidas";"3";"0";"General Caballero FO";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"08-06-2026 15:30";"FT";"Berazategui";"2";"1";"Juventud Unida G.";"0";"1";"";"";"";"40";"24";"17";"14";"54";"76";"50";"57";"17";"29";"0.3";"0.1";"20.6";"11.5";"9.4";"9.3";"10.9";"9.6";"5.5";"4.7";"4.8";"4.1";"1.8";"1.4";"3.2";"2.3";"4.4";"3.6";"4.3";"5.2";"4.3";"8.7"
"Argentina";"ARG";"Primera B Metropolitana";"08-06-2026 15:30";"FT";"UAI Urquiza";"2";"1";"Liniers";"1";"1";"";"";"";"12";"6";"0";"0";"78";"94";"25";"22";"38";"56";"0.2";"0";"14.6";"6.9";"7";"7";"8.4";"5.6";"2.1";"2.8";"2.5";"3.8";"1.1";"1.7";"1.3";"0.8";"2.4";"3.6";"4.1";"3.7";"2.4";"7"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Defensa y Justicia Res.";"2";"1";"Ferro Carril Reserves";"1";"1";"";"";"";"25";"6";"25";"0";"56";"94";"100";"25";"0";"75";"0.5";"0";"18.6";"11.2";"7.7";"7.6";"10.6";"8.7";"6.9";"3.4";"3.1";"4";"1.6";"2";"4";"1.5";"4.6";"3.6";"4.7";"6.4";"3.2";"8.9"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Independiente Riva. Res.";"2";"0";"Quilmes Res.";"1";"0";"";"";"";"19";"19";"12";"0";"69";"81";"50";"50";"50";"50";"0.2";"0";"17.2";"11";"9.2";"9.4";"4.9";"6.8";"4.2";"3.5";"4.2";"1.6";"1.9";"0.9";"2.6";"1.4";"3.4";"4.4";"2.6";"5.6";"4.2";"8.4"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Unión Santa Fe Res.";"2";"0";"Atlético Tucumán Res.";"2";"0";"";"";"";"31";"6";"25";"12";"32";"94";"25";"50";"75";"50";"0.1";"0.2";"17";"8";"9.3";"6";"10.6";"8.2";"4.4";"4.6";"2.5";"4.9";"1.2";"2.6";"1.1";"1.7";"3.4";"2.4";"5.4";"3.2";"4.4";"7.8"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Gimnasia Esgrima Res.";"0";"2";"Godoy Cruz Res.";"0";"0";"";"";"";"25";"12";"0";"0";"56";"88";"38";"12";"50";"88";"0";"0";"19";"8.5";"8.1";"9";"12.5";"7.8";"3.6";"2.6";"3.6";"5.8";"1.6";"2.1";"1.6";"0.9";"3.1";"4.1";"5.4";"4";"3.2";"8.4"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Racing Club Res.";"1";"2";"Banfield Res.";"1";"1";"";"";"";"12";"6";"12";"0";"75";"94";"75";"25";"12";"62";"0.1";"0";"15.1";"8.5";"5.5";"6.5";"9.8";"6.6";"4.2";"2.2";"2.4";"4.4";"0.8";"2";"2.1";"1";"3";"2.8";"4.4";"3.6";"2";"6.4"
"Australia";"AUS";"Victoria Premier League 2";"08-06-2026 07:15";"FT";"Melbourne Victory II";"4";"0";"Brunswick Juventus";"2";"0";"";"";"";"34";"20";"29";"38";"25";"80";"71";"38";"29";"62";"0.3";"0.1";"22";"14.7";"12.8";"6.4";"10.2";"10.6";"7.7";"4.9";"3.6";"5.1";"2";"2.2";"3.3";"2";"4.8";"3.7";"4.6";"6.3";"6.4";"10.5"
"Australia";"AUS";"FFA Cup Qualifying";"08-06-2026 02:00";"FT_PEN";"Kingborough Lions";"1";"1";"Devonport City";"0";"0";"";"";"";"100";"62";"50";"100";"0";"38";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Mineiro 2";"08-06-2026 19:30";"FT";"Mamoré";"0";"2";"Uberaba";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Copa Gaúcha";"08-06-2026 15:00";"FT";"Monsoon";"1";"1";"Santa Cruz RS";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 10:00";"FT";"América RJ U20";"2";"0";"Artsul U20";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Petrópolis U20";"2";"1";"Serrano U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"Americano U20";"2";"0";"7 de Abril U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT";"São Gonçalo/Niterói U20";"3";"0";"Serra Macaense U20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Torneio Otavio Pinto Guimaraes U20";"08-06-2026 14:45";"FT_PEN";"Pérolas Negras U20";"0";"0";"Paduano U20";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Canada";"CAN";"PCSL";"08-06-2026 23:00";"FT";"Blues";"3";"2";"AFA";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Deportes Temuco";"0";"1";"Curicó Unido";"0";"1";"";"";"";"38";"31";"33";"0";"54";"69";"67";"29";"33";"57";"0.2";"0.1";"27.8";"17";"11.6";"11";"16.1";"11.4";"7.5";"4.6";"4.8";"6";"2.7";"3.1";"2.7";"1.7";"5.1";"5.5";"8";"7.2";"6.1";"13.4"
"Chile";"CHI";"Primera B";"08-06-2026 20:30";"FT";"Unión Española";"2";"2";"Unión San Felipe";"1";"1";"";"";"";"28";"14";"0";"14";"43";"86";"71";"29";"29";"71";"0.3";"0.1";"25";"10";"8.7";"9.7";"21.7";"9.2";"4.3";"3";"3.3";"7.9";"2.3";"3.9";"2.1";"2";"5.2";"4.9";"11.1";"5.1";"5.3";"13.2"
"Cameroon";"CMR";"Elite One";"08-06-2026 11:30";"FT";"Fauve Azur Elite";"2";"3";"Aigle Royal de Moungo";"1";"1";"";"";"";"30";"5";"0";"0";"60";"95";"20";"40";"70";"50";"0";"0.2";"19.8";"9.8";"8.3";"9.3";"12.1";"7.1";"2.5";"2.9";"4.1";"4.7";"2.6";"2.6";"1.5";"1.1";"3.9";"4.8";"6.6";"5.1";"4";"10.2"
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"Bamboutos";"3";"0";"Union Douala";"0";"0";"";"";"";"31";"25";"0";"12";"54";"75";"25";"25";"0";"50";"0";"0";"";"6.7";"";"4";"";"";"2";"";"0.7";"";"0";"";"0.5";"";"";"1";"";"2";"";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 09:30";"FT";"FAP";"1";"2";"Yafoot";"1";"1";"";"";"";"12";"12";"12";"0";"56";"88";"40";"0";"20";"0";"0.2";"0";"";"9.5";"";"8";"";"";"2";"";"3.5";"";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Ngok Etunja";"0";"3";"Tonnerre";"0";"1";"";"";"";"20";"6";"12";"0";"41";"94";"50";"";"25";"";"0.8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Cameroon";"CMR";"Elite Two";"08-06-2026 11:30";"FT";"Sable Batie";"1";"1";"Bafmeng United";"1";"1";"";"";"";"22";"14";"43";"0";"57";"86";"";"0";"";"50";"";"0";"";"";"4.5";"";"9.5";"";"";"0";"";"0.5";"";"";"";"";"";"";"";"";"";""
