"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Uzbekistan";"UZB";"Pro Liga";"08-06-2026 11:00";"FT";"Metallurg";"7";"0";"FarDu";"3";"0";"";"";"";"20";"0";"40";"0";"60";"100";"60";"20";"40";"80";"0.2";"0";"17.8";"12";"6.8";"7.2";"9.8";"6.4";"4.2";"3";"2";"3.5";"1.2";"2";"2.5";"1";"3.4";"2.5";"4.2";"4";"2.2";"6.5"
"World";"WOR";"Tournoi Maurice Revello";"08-06-2026 10:00";"FT";"Côte d'Ivoire U23";"2";"1";"Canada U20";"1";"0";"";"";"";"";"";"";"0";"";"";"";"50";"";"50";"";"0";"";"";"11";"";"17.5";"";"";"5";"";"4.5";"";"2.5";"";"4";"";"";"9";"";"7";""
"World";"WOR";"Tournoi Maurice Revello";"08-06-2026 13:30";"FT";"Venezuela U20";"1";"3";"Portugal U20";"1";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"08-06-2026 03:00";"FT";"Zhetysu W";"1";"1";"Ordabasy W";"1";"1";"";"";"";"50";"50";"0";"0";"16";"50";"0";"";"100";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"08-06-2026 03:00";"FT";"Kaspiy W";"0";"3";"Atyrau W";"0";"1";"";"";"";"33";"33";"0";"0";"67";"67";"0";"33";"67";"67";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"08-06-2026 09:00";"FT";"BIIK Shymkent W";"2";"0";"Turan Turkistan W";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"08-06-2026 10:00";"FT";"Ulytau Zhezkazgan W";"1";"3";"FC Kaysar W";"0";"1";"";"";"";"50";"25";"0";"0";"50";"75";"0";"50";"100";"0";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"08-06-2026 11:00";"FT";"Astana W";"4";"0";"Shakhter Karagandy W";"3";"0";"";"";"";"50";"0";"100";"0";"34";"100";"";"67";"";"33";"";"0.3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U20";"08-06-2026 11:00";"FT";"Qatar U20";"0";"2";"USA U20";"0";"0";"";"";"";"";"";"25";"";"";"";"0";"";"0";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U21";"08-06-2026 10:00";"FT";"Japan U21";"3";"0";"Ukraine U21";"2";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U21";"08-06-2026 12:00";"FT";"Belarus U21";"2";"1";"Kazakhstan U21";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U21";"08-06-2026 13:00";"FT";"Norway U21";"0";"2";"Finland U21";"0";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U21";"08-06-2026 13:00";"FT";"United States U21";"0";"1";"Uzbekistan U23";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International U21";"08-06-2026 13:15";"FT";"Italy U21";"1";"0";"Albania U21";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International Women";"08-06-2026 12:00";"FT";"Senegal W";"0";"3";"Nigeria W";"0";"0";"";"";"";"50";"25";"50";"50";"50";"75";"50";"0";"50";"100";"0.5";"0";"";"8.5";"";"10";"";"";"4";"";"3";"";"1.5";"";"2";"";"";"6";"";"4";"";""
"World";"WOR";"Friendly International Women";"08-06-2026 13:00";"FT";"Equatorial Guinea W";"1";"3";"Haiti W";"0";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International Women";"08-06-2026 13:00";"FT";"Egypt W";"2";"2";"Tunisia W";"0";"1";"";"";"";"";"";"0";"";"";"";"0";"";"100";"";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Friendly International Women";"08-06-2026 16:00";"FT";"Côte d'Ivoire W";"0";"0";"Cabo Verde W";"0";"0";"";"";"";"";"";"40";"";"";"";"75";"";"0";"";"0.5";"";"";"15.5";"";"1";"";"";"7.5";"";"0.5";"";"0";"";"4";"";"";"0";"";"8.5";"";""
"World";"WOR";"Friendly International Women";"08-06-2026 22:00";"FT";"Panama W";"0";"0";"Jamaica W";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
