"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora"
"Morocco";"MAR";"Botola Pro";"08-06-2026 13:00";"FT";"FUS Rabat";"0";"0";"Difaâ El Jadida";"0";"0";"1.61";"5.20";"";"9";"1";"77";"66";"51";"44";"33";"50";"22";"40";"10";"50";"20";"50";"30";"63";"43";"10";"10";"3.3";"4.2";"5.6";"6";"9.6";"1.2";"1.6";"2.7";"3.1";"2.1";"2.6";"2.9";"2.9";"4.3";"5.2";"7.9";"78";"58";"58";"47";"64";"80";"57";"64";"44";"20";"33";"50";"22";"30";"33";"30";"0.1";"0.3";"20.3";"9.8";"8.3";"10.9";"11.7"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"RSB Berkane";"1";"0";"Ittihad Tanger";"1";"0";"1.50";"6.10";"";"8";"1";"80";"77";"48";"34";"60";"33";"40";"22";"10";"60";"20";"70";"30";"77";"50";"10";"10";"3.9";"3.7";"3.8";"3.6";"7.4";"2.2";"1.3";"1.4";"1.1";"1.7";"2.3";"2.4";"2.4";"3";"4.4";"7.9";"42";"26";"20";"26";"48";"90";"90";"94";"50";"44";"60";"56";"50";"56";"40";"22";"0.5";"0.4";"19.2";"9.8";"10.9";"8.5";"9.3"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"Wydad Casablanca";"1";"0";"Olympic Safi";"0";"0";"1.50";"5.62";"";"9";"1";"74";"56";"37";"41";"60";"40";"50";"40";"10";"40";"20";"40";"10";"47";"27";"10";"10";"5.3";"4.4";"4";"4.6";"9.2";"2.5";"1.5";"1.7";"2.7";"2.8";"2.9";"2.3";"1.9";"4.2";"4.9";"7.9";"80";"65";"40";"50";"55";"85";"75";"70";"60";"50";"70";"50";"70";"40";"70";"30";"0.4";"0.5";"20.6";"11";"10.5";"10.5";"9.3"
"Morocco";"MAR";"Botola Pro";"08-06-2026 17:00";"FT";"Olympique Dcheïra";"0";"1";"Hassania Agadir";"0";"1";"3.61";"2.15";"";"9";"5";"42";"35";"24";"44";"40";"50";"50";"30";"2";"50";"0";"0";"10";"7";"23";"10";"10";"3.1";"6";"4.2";"4.1";"8.7";"1.4";"2.4";"2.7";"1.2";"1.7";"3.6";"1.5";"2.9";"3.8";"4.8";"7.9";"55";"45";"40";"40";"40";"80";"75";"75";"40";"60";"10";"50";"20";"50";"0";"50";"0";"0.2";"19.4";"9";"8";"11.9";"9.8"
"Uruguay";"URU";"Primera Division";"08-06-2026 19:00";"FT";"Liverpool";"0";"0";"Cerro Largo";"0";"0";"1.88";"4.09";"1.30";"8";"1";"63";"74";"41";"44";"40";"60";"30";"40";"10";"60";"30";"30";"40";"40";"47";"10";"10";"3.3";"2.6";"4.1";"3.5";"6.8";"1.1";"1.2";"1.6";"2.1";"2.2";"1.4";"2.5";"1.4";"3";"3.8";"8.7";"35";"25";"20";"20";"30";"95";"90";"95";"20";"20";"40";"40";"40";"30";"20";"10";"0.1";"0.2";"18.2";"8.4";"8.5";"8.1";"11.5"
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Singapore U19";"4";"0";"Brunei U19";"2";"0";"1.06";"21.80";"";"10";"3";"10";"2";"14";"0";"62";"25";"38";"50";"";"";"";"10";"0";"13";"0";"10";"10";"2";"2.5";"6.8";"10.8";"11";"1.1";"3.5";"2.9";"10";"0.9";"1.5";"3.9";"11.5";"8.8";"8.9";"10";"75";"75";"69";"88";"75";"56";"50";"62";"12";"25";"50";"50";"0";"50";"0";"50";"0.2";"0.5";"17.4";"4.9";"2";"11.6";"16.4"
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Thailand U19";"3";"2";"Malaysia U19";"2";"2";"1.51";"5.44";"";"9";"1";"100";"88";"78";"95";"33";"50";"14";"38";"4";"25";"25";"60";"50";"70";"60";"10";"10";"6.1";"7";"2";"4.4";"9.8";"3.3";"3.8";"1.1";"1.9";"4.6";"3.2";"1.4";"2.5";"5";"5.9";"10";"66";"60";"53";"52";"59";"58";"58";"81";"78";"50";"71";"38";"71";"50";"29";"50";"0.1";"0.8";"15.7";"11.2";"10.4";"3.1";"6.7"
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Uni Souza";"2";"0";"Barcelona RJ";"1";"0";"1.41";"6.25";"";"10";"1";"35";"2";"34";"10";"44";"33";"29";"67";"";"";"";"10";"10";"20";"13";"10";"10";"4.9";"5.3";"4.2";"5.3";"9.9";"2.1";"3";"1.9";"2.7";"4.1";"2.3";"3.6";"2.7";"4.8";"6.4";"9.9";"89";"72";"50";"72";"74";"72";"72";"66";"33";"33";"71";"67";"57";"67";"43";"33";"0.4";"1.7";"21.7";"11.2";"8.3";"8.9";"15"
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Búzios";"0";"2";"Cardoso Moreira";"0";"1";"4.61";"1.64";"";"10";"2";"32";"66";"51";"48";"38";"33";"0";"50";"";"";"";"30";"71";"40";"71";"10";"7";"3.4";"6";"5";"4.7";"9.6";"2.2";"6";"4.2";"3.5";"3.5";"3";"5.2";"3.5";"8";"7.6";"9.9";"81";"64";"40";"88";"62";"60";"60";"88";"25";"33";"50";"100";"25";"100";"25";"50";"0.2";"1.5";"20.2";"7.7";"12.7";"10.3";"9.7"
"Brazil";"BRA";"Carioca C";"08-06-2026 16:00";"FT";"Céres";"2";"4";"Tigres do Brasil";"0";"3";"2.86";"2.10";"";"10";"5";"32";"80";"34";"68";"50";"50";"50";"60";"10";"50";"30";"30";"60";"30";"63";"10";"10";"6";"4.5";"6";"4";"10.2";"4.2";"1.8";"2.2";"1.6";"1.8";"3.6";"3.8";"3.2";"5";"6.2";"9.9";"84";"54";"46";"48";"78";"66";"54";"75";"50";"50";"75";"40";"75";"60";"50";"40";"0.5";"0.4";"23.7";"10.2";"10";"15.2";"12"
"Chile";"CHI";"Segunda División";"08-06-2026 16:30";"FT";"Provincial Ovalle";"1";"1";"Trasandino";"0";"1";"2.18";"2.95";"";"10";"5";"56";"56";"24";"34";"40";"40";"60";"60";"5";"40";"40";"10";"30";"20";"37";"10";"10";"3.2";"5.4";"5.7";"5.4";"9.9";"1.5";"3";"3";"2.6";"1.7";"2.4";"2.7";"2.8";"5";"4.8";"10";"70";"65";"60";"65";"55";"65";"50";"55";"20";"50";"50";"60";"20";"60";"20";"50";"0.3";"0.7";"17.8";"8.9";"9.7";"7.8";"9.2"
"Paraguay";"PAR";"Copa Paraguay";"08-06-2026 13:00";"AWARDED";"Naciones Unidas";"3";"0";"General Caballero FO";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"08-06-2026 15:30";"FT";"Berazategui";"2";"1";"Juventud Unida G.";"0";"1";"1.54";"5.63";"";"9";"1";"80";"52";"34";"37";"60";"30";"60";"40";"2";"50";"50";"30";"20";"47";"33";"10";"10";"4.7";"3.2";"4.3";"4.7";"8.4";"1.9";"1.9";"1.9";"2";"2.4";"1.3";"1.9";"2.7";"3.8";"4.2";"7.6";"55";"55";"45";"35";"45";"80";"75";"80";"60";"30";"30";"20";"40";"50";"50";"20";"0.4";"0.2";"17.1";"8.6";"9";"8.3";"8.3"
"Argentina";"ARG";"Primera B Metropolitana";"08-06-2026 15:30";"FT";"UAI Urquiza";"2";"1";"Liniers";"1";"1";"2.65";"2.93";"";"9";"5";"70";"80";"14";"14";"60";"40";"50";"50";"10";"50";"30";"10";"30";"23";"40";"10";"10";"3.9";"5.3";"4.5";"3.9";"8.8";"1.6";"2.5";"2.7";"2.1";"2.3";"2.8";"1.8";"1.8";"4.4";"4.4";"8.6";"65";"55";"45";"45";"40";"80";"60";"65";"30";"60";"20";"50";"40";"80";"20";"60";"0.1";"0.2";"16.6";"7.5";"7.2";"10.2";"8.3"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Defensa y Justicia Res.";"2";"1";"Ferro Carril Reserves";"1";"1";"1.66";"4.29";"";"9";"1";"52";"70";"85";"34";"60";"40";"40";"50";"";"";"";"50";"40";"60";"47";"10";"10";"4.9";"3.1";"4.9";"6";"9.4";"2.1";"1.6";"2.3";"2.8";"2.8";"1.5";"2.6";"3.2";"4.4";"5.1";"9.1";"75";"60";"45";"45";"70";"75";"65";"75";"40";"20";"50";"40";"40";"20";"40";"10";"0.5";"0.5";"20.2";"9.9";"9.5";"8.6";"12.4"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Independiente Riva. Res.";"2";"0";"Quilmes Res.";"1";"0";"2.67";"2.50";"";"9";"5";"49";"84";"44";"31";"40";"50";"40";"50";"";"";"";"40";"60";"43";"63";"10";"10";"4.6";"4.1";"3.8";"4.4";"8.4";"2.4";"1.8";"1.4";"2";"2.2";"2.3";"2.4";"2.4";"3.8";"4.6";"9.1";"60";"45";"35";"35";"55";"80";"70";"80";"60";"50";"70";"50";"60";"30";"40";"40";"0.4";"0.5";"18";"8.6";"10";"11";"6.5"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Unión Santa Fe Res.";"2";"0";"Atlético Tucumán Res.";"2";"0";"2.02";"3.11";"";"9";"5";"63";"49";"41";"61";"40";"70";"50";"50";"8";"50";"12";"40";"50";"53";"57";"10";"10";"4.9";"3.9";"3.1";"5.2";"8.6";"2.5";"1.5";"1.5";"2.9";"2.4";"2.4";"1.6";"2.3";"4.2";"4.4";"9.1";"65";"40";"30";"35";"50";"90";"85";"70";"70";"40";"60";"30";"50";"40";"40";"40";"0.6";"0.4";"16.6";"7.9";"10.1";"6.2";"9.1"
