"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"Wydad Casablanca";"1";"0";"Olympic Safi";"0";"0";"1.50";"5.62";"";"";"47";"27";"10";"10";"5";"16";"49";"56";"20.6";"11";"10.5";"10.5";"9.3";"8.4";"1.9";"2.8";"3";"2.9";"5.3";"5.1";"1.9";"2.6";"2.9";"2.9";"5.2";"4.7";"0";"0.2";"0.1";"0";"0.2";"0.4";"100";"85";"65";"65";"35";"15";"0";"35"
"Morocco";"MAR";"Botola Pro";"08-06-2026 17:00";"FT";"Olympique Dcheïra";"0";"1";"Hassania Agadir";"0";"1";"3.61";"2.15";"";"";"7";"23";"10";"10";"13";"12";"46";"51";"19.4";"9";"8";"11.9";"9.8";"9.4";"2.8";"2.3";"2";"2";"4.6";"5.1";"2.7";"2.1";"1.9";"1.8";"4.2";"4.7";"0.1";"0.2";"0.1";"0.2";"0.3";"0.4";"90";"65";"45";"70";"55";"35";"10";"30"
"Uruguay";"URU";"Primera Division";"08-06-2026 19:00";"FT";"Liverpool";"0";"0";"Cerro Largo";"0";"0";"1.88";"4.09";"";"";"40";"47";"10";"10";"5";"3";"49";"50";"18.2";"8.4";"8.5";"8.1";"11.5";"7";"3.7";"2.3";"3.5";"3.3";"6.4";"6.3";"3.4";"2.3";"3.2";"2.8";"5.8";"5.8";"0.3";"0";"0.3";"0.5";"0.6";"0.5";"95";"95";"80";"35";"20";"5";"5";"65"
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Singapore U19";"4";"0";"Brunei U19";"2";"0";"1.06";"21.80";"";"";"13";"0";"10";"10";"";"";"47";"36";"17.4";"4.9";"2";"11.6";"16.4";"8.2";"2.1";"0.8";"1.4";"0.8";"2.6";"2.9";"1.9";"0.8";"1.3";"0.5";"2.2";"2.9";"0.2";"0";"0.1";"0.2";"0.2";"0";"52";"40";"16";"88";"78";"54";"42";"6"
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Thailand U19";"3";"2";"Malaysia U19";"2";"2";"1.51";"5.44";"";"";"70";"60";"10";"10";"";"";"61";"55";"15.7";"11.2";"10.4";"3.1";"6.7";"6.2";"1.1";"1.6";"1.7";"1.3";"2.8";"2.9";"1";"1.3";"1.4";"1.3";"2.6";"2.9";"0.1";"0.2";"0.2";"0";"0.2";"0";"44";"33";"22";"89";"78";"67";"56";"11"
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Uni Souza";"2";"0";"Barcelona RJ";"1";"0";"1.41";"6.25";"";"";"20";"13";"10";"10";"13";"15";"52";"41";"21.7";"11.2";"8.3";"8.9";"15";"9.4";"2.3";"2.4";"2.4";"2.2";"4.6";"6.2";"2.1";"1.8";"2.4";"2.2";"4.3";"5.7";"0.1";"0.6";"0";"0";"0.4";"0.5";"66";"66";"58";"58";"42";"34";"34";"42"
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Búzios";"0";"2";"Cardoso Moreira";"0";"1";"4.61";"1.64";"";"";"40";"71";"10";"7";"5";"1";"54";"52";"20.2";"7.7";"12.7";"10.3";"9.7";"8.4";"3.8";"1";"2.3";"1.5";"4.4";"6.2";"3.5";"1";"2.3";"1.5";"4.2";"5.7";"0.3";"0";"0";"0";"0.2";"0.5";"75";"42";"42";"75";"58";"58";"25";"25"
"Brazil";"BRA";"Carioca C";"08-06-2026 16:00";"FT";"Céres";"2";"4";"Tigres do Brasil";"0";"3";"2.86";"2.10";"";"";"30";"63";"10";"10";"7";"4";"48";"53";"23.7";"10.2";"10";"15.2";"12";"8.6";"2.3";"3";"1.3";"3.7";"5.2";"6.2";"2.2";"2.5";"1.3";"3.5";"4.8";"5.7";"0.2";"0.5";"0";"0.2";"0.4";"0.5";"75";"66";"58";"50";"42";"34";"25";"50"
"Chile";"CHI";"Segunda División";"08-06-2026 16:30";"FT";"Provincial Ovalle";"1";"1";"Trasandino";"0";"1";"2.18";"2.95";"";"";"20";"37";"10";"10";"7";"4";"50";"52";"17.8";"8.9";"9.7";"7.8";"9.2";"7.8";"3.2";"3.9";"2.6";"3.7";"6.7";"6.9";"3";"3.4";"2.6";"3.4";"6.2";"6.1";"0.2";"0.5";"0";"0.3";"0.5";"0.8";"95";"90";"80";"30";"20";"10";"5";"70"
"Paraguay";"PAR";"Copa Paraguay";"08-06-2026 13:00";"AWARDED";"Naciones Unidas";"3";"0";"General Caballero FO";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera C";"08-06-2026 15:30";"FT";"Berazategui";"2";"1";"Juventud Unida G.";"0";"1";"1.54";"5.63";"";"";"47";"33";"10";"10";"9";"23";"53";"48";"17.1";"8.6";"9";"8.3";"8.3";"7.2";"3.1";"2.7";"3.3";"2.5";"5.8";"6.3";"2.8";"2.5";"2.9";"2.3";"5.2";"5.7";"0.3";"0.2";"0.4";"0.2";"0.6";"0.6";"95";"90";"74";"42";"26";"10";"5";"58"
"Argentina";"ARG";"Primera B Metropolitana";"08-06-2026 15:30";"FT";"UAI Urquiza";"2";"1";"Liniers";"1";"1";"2.65";"2.93";"";"";"23";"40";"10";"10";"20";"13";"53";"49";"16.6";"7.5";"7.2";"10.2";"8.3";"6";"2.7";"3.4";"2.2";"3.2";"5.8";"6";"2.6";"2.9";"2";"2.9";"5.2";"5.7";"0.1";"0.5";"0.2";"0.3";"0.6";"0.3";"80";"65";"65";"50";"35";"35";"20";"50"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Defensa y Justicia Res.";"2";"1";"Ferro Carril Reserves";"1";"1";"1.66";"4.29";"";"";"60";"47";"10";"10";"7";"24";"52";"46";"20.2";"9.9";"9.5";"8.6";"12.4";"8.8";"2.6";"2.4";"2.2";"2.1";"4.6";"5.2";"2";"2.3";"1.9";"2";"4.1";"4.9";"0.6";"0.1";"0.3";"0.1";"0.6";"0.3";"80";"65";"55";"75";"45";"35";"20";"25"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Independiente Riva. Res.";"2";"0";"Quilmes Res.";"1";"0";"2.67";"2.50";"";"";"43";"63";"10";"10";"23";"6";"54";"46";"18";"8.6";"10";"11";"6.5";"8";"2.5";"2.5";"2.9";"2.7";"5.3";"5.2";"2.5";"2.4";"2.8";"2.1";"4.9";"4.9";"0";"0.1";"0.1";"0.6";"0.4";"0.3";"95";"75";"45";"65";"55";"25";"5";"35"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Unión Santa Fe Res.";"2";"0";"Atlético Tucumán Res.";"2";"0";"2.02";"3.11";"";"";"53";"57";"10";"10";"18";"9";"46";"51";"16.6";"7.9";"10.1";"6.2";"9.1";"7.3";"3.2";"2.2";"2.7";"2.9";"5.5";"5.2";"3.2";"2";"2.7";"2.9";"5.4";"4.9";"0";"0.2";"0";"0";"0.1";"0.3";"95";"90";"70";"50";"30";"10";"5";"50"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Gimnasia Esgrima Res.";"0";"2";"Godoy Cruz Res.";"0";"0";"1.56";"5.26";"";"";"50";"20";"10";"10";"16";"33";"47";"50";"20.2";"9.3";"8.9";"10.6";"11.6";"8.4";"2";"3.5";"2.2";"3";"5.4";"5.2";"1.9";"3.3";"2.2";"2.6";"5";"4.9";"0.1";"0.2";"0";"0.4";"0.4";"0.3";"90";"80";"60";"55";"40";"20";"10";"45"
"Argentina";"ARG";"Reserve League";"08-06-2026 15:00";"FT";"Racing Club Res.";"1";"2";"Banfield Res.";"1";"1";"1.85";"3.73";"";"";"53";"57";"10";"10";"8";"26";"53";"51";"16.5";"7.7";"7.4";"9.2";"8.7";"7.4";"2.9";"3.1";"2.3";"2.6";"5.4";"5.2";"2.4";"3";"2";"2.5";"5";"4.9";"0.5";"0.1";"0.3";"0.1";"0.5";"0.3";"90";"85";"60";"60";"40";"15";"10";"40"
