"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global"
"Morocco";"MAR";"Botola Pro";"08-06-2026 15:00";"FT";"Wydad Casablanca";"1";"0";"Olympic Safi";"0";"0";"";"1.50";"5.62";"60";"2";"0.7";"3";"51";"31";"77";"49";"1";"0.6";"0.5";"7.5";"7.2";"51";"46";"40";"20";"50";"0";"10";"30";"40";"40";"";"";"67";"23";"60";"10";"10";"10";"1.5";"0.9";"0.8";"1.6";"2.4";"1";"0.5";"0.2";"0.6";"1.2";"2.2";"95";"80";"40";"80";"40";"10";"80";"70";"95";"50";"100";"90";"70";""
"Morocco";"MAR";"Botola Pro";"08-06-2026 17:00";"FT";"Olympique Dcheïra";"0";"1";"Hassania Agadir";"0";"1";"";"3.61";"2.15";"50";"0.6";"0.8";"2";"20";"34";"49";"42";"5";"0.6";"0.4";"17.2";"6.7";"41";"42";"50";"20";"0";"20";"50";"40";"30";"70";"";"";"20";"27";"10";"20";"10";"10";"0.6";"1";"1.6";"1.8";"2.5";"0.2";"0.2";"0.9";"0.8";"1";"2.2";"95";"75";"50";"75";"10";"40";"80";"75";"95";"100";"80";"50";"60";""
"Uruguay";"URU";"Primera Division";"08-06-2026 19:00";"FT";"Liverpool";"0";"0";"Cerro Largo";"0";"0";"1.34";"1.88";"4.09";"30";"1.1";"1.1";"3";"41";"27";"63";"63";"1";"0.6";"0.6";"5.5";"8.6";"42";"42";"62";"44";"50";"22";"38";"56";"50";"44";"";"";"38";"37";"25";"33";"8";"9";"1.2";"0.8";"1.2";"1.2";"2.2";"0.6";"0.3";"0.6";"0.4";"1";"2.5";"88";"60";"42";"64";"38";"22";"76";"76";"94";"50";"78";"62";"44";""
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Singapore U19";"4";"0";"Brunei U19";"2";"0";"";"1.06";"21.80";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Asia";"AFC";"Aff Championship U19";"08-06-2026 10:00";"FT";"Thailand U19";"3";"2";"Malaysia U19";"2";"2";"";"1.51";"5.44";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Uni Souza";"2";"0";"Barcelona RJ";"1";"0";"";"1.41";"6.25";"50";"0.5";"0";"3";"17";"34";"70";"2";"1";"";"";"";"";"";"";"0";"";"0";"0";"50";"50";"50";"50";"";"";"17";"0";"0";"0";"2";"2";"0.5";"1";"1";"4";"3.2";"0";"1";"0";"1";"1";"2.6";"100";"75";"50";"25";"0";"50";"75";"75";"75";"100";"100";"50";"50";""
"Brazil";"BRA";"Carioca C";"08-06-2026 14:45";"FT";"Búzios";"0";"2";"Cardoso Moreira";"0";"1";"";"4.61";"1.64";"25";"2";"3";"3";"34";"85";"88";"100";"2";"";"";"";"";"";"";"";"50";"50";"100";"0";"0";"50";"50";"";"";"67";"100";"50";"100";"2";"2";"1";"2.5";"0.5";"0";"2";"0";"1.5";"0.5";"0";"1";"2.6";"100";"50";"25";"50";"0";"50";"75";"75";"75";"50";"0";"100";"100";""
"Brazil";"BRA";"Carioca C";"08-06-2026 16:00";"FT";"Céres";"2";"4";"Tigres do Brasil";"0";"3";"";"2.86";"2.10";"50";"1.5";"1.5";"2";"51";"17";"52";"88";"5";"0.8";"0.3";"6";"15";"33";"53";"50";"50";"0";"50";"0";"50";"100";"100";"";"";"50";"50";"50";"50";"2";"2";"1.5";"0.5";"1.5";"0.5";"2";"0";"0";"0.5";"0";"0.2";"2.6";"100";"50";"50";"25";"50";"0";"100";"100";"100";"100";"50";"100";"50";""
"Chile";"CHI";"Segunda División";"08-06-2026 16:30";"FT";"Provincial Ovalle";"1";"1";"Trasandino";"0";"1";"";"2.18";"2.95";"54";"0.3";"1";"2";"10";"34";"70";"52";"5";"0.7";"0.4";"34.3";"10";"42";"40";"67";"25";"0";"0";"67";"25";"33";"50";"";"";"11";"33";"0";"25";"3";"4";"0.3";"1";"1";"1.5";"1.9";"0";"0.5";"0.3";"0.8";"0.8";"2";"100";"66";"25";"66";"0";"25";"100";"88";"100";"100";"100";"33";"75";""
"Paraguay";"PAR";"Copa Paraguay";"08-06-2026 13:00";"AWARDED";"Naciones Unidas";"3";"0";"General Caballero FO";"0";"0";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
