"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Odds";"Odds";"Odds";"Odds";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Casa";"Fora";"Casa";"Fora";"Global";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global"
"World";"WOR";"World Cup";"18-06-2026 13:00";"NS";"Czech Republic";"";"";"South Africa";"";"";"1.76";"4.53";"1.33";"1.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"18-06-2026 16:00";"NS";"Switzerland";"";"";"Bosnia and Herzegovina";"";"";"1.57";"5.79";"1.33";"1.25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"18-06-2026 19:00";"NS";"Canada";"";"";"Qatar";"";"";"1.27";"11.14";"1.24";"1.37";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"18-06-2026 22:00";"NS";"Mexico";"";"";"Korea Republic";"";"";"1.96";"4.12";"1.42";"1.18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"18-06-2026 21:00";"NS";"Sport Recife";"";"";"Atlético GO";"";"";"";"";"";"";"3";"11";"57";"44";"";"48";"34";"76";"";"2.2";"2";"1.4";"1";"0.9";"1";"62";"63";"31";"93";"2.2";"28.1";"9.2";"11.7";"1.7";"1.3";"11";"74";"70";"29";"67";"";"";"0.3";"0.7";"0.3";"0.5";"1.2";"0.9";"0.6";"0.5";"1.1";"0.3";"";"43";"33";"5.3";"4.5";"5.6";"8";"10.3";"93";"86"
"Sweden";"SWE";"Damallsvenskan";"18-06-2026 10:00";"NS";"Brommapojkarna W";"";"";"Vittsjo W";"";"";"";"";"";"";"8";"9";"50";"25";"";"61";"27";"75";"";"3";"3";"1.8";"0.8";"2";"1.5";"38";"75";"62";"75";"2.8";"18.2";"8.9";"13.2";"1.5";"0.8";"12";"35";"52";"50";"50";"";"";"1";"0.2";"1";"0.5";"1.6";"1.4";"1";"1";"0.8";"0.5";"";"50";"25";"3.5";"4.2";"9";"9.8";"10.7";"100";"88"
"Sweden";"SWE";"Damallsvenskan";"18-06-2026 11:00";"NS";"Eskilstuna United W";"";"";"Pitea W";"";"";"";"";"";"";"5";"6";"47";"58";"";"27";"41";"68";"";"2.1";"2";"0.8";"1.2";"1.2";"1";"58";"55";"58";"100";"2.8";"15.8";"6.2";"11.4";"1.4";"1.8";"11";"63";"70";"60";"75";"";"";"0.4";"0.8";"0.6";"0.2";"1.1";"1";"0.6";"0.8";"0.4";"0.5";"";"40";"50";"5.2";"6.8";"5.2";"5.8";"10.7";"90";"80"
"Sweden";"SWE";"Damallsvenskan";"18-06-2026 13:00";"NS";"Kristianstads W";"";"";"Uppsala W";"";"";"";"";"";"";"7";"14";"47";"0";"";"48";"14";"70";"";"3.1";"3";"1.4";"0.4";"1.4";"3";"30";"90";"70";"60";"2.8";"15.7";"7.2";"9.1";"1.4";"0";"10";"56";"0";"60";"40";"";"";"0.8";"0";"0.6";"2";"1.4";"1.7";"0.8";"1";"0.6";"0.4";"";"40";"0";"4";"3.6";"4.6";"6";"10.7";"70";"40"
"Sweden";"SWE";"Damallsvenskan";"18-06-2026 13:00";"NS";"Häcken W";"";"";"Rosengard W";"";"";"";"";"";"";"1";"13";"100";"33";"";"100";"51";"100";"";"3.5";"3";"3";"1.5";"1";"1.5";"62";"75";"75";"62";"2.8";"21.8";"10.4";"10.5";"3";"1";"11";"70";"52";"50";"75";"";"";"1.2";"0.8";"0.5";"1.2";"1.6";"1.9";"0.5";"0.2";"1.8";"0.8";"";"100";"25";"7.2";"6.2";"2.8";"4.8";"10.7";"88";"75"
"Sweden";"SWE";"Damallsvenskan";"18-06-2026 14:00";"NS";"Norrköping W";"";"";"Växjö W";"";"";"";"";"";"";"12";"11";"33";"0";"";"41";"27";"88";"";"2.8";"3";"1.2";"0.8";"1.2";"2.5";"50";"88";"62";"88";"2.8";"21";"9";"7.9";"1";"0";"10";"63";"18";"50";"25";"";"";"0.2";"0.5";"1";"1.5";"1.2";"1.6";"0.2";"1";"1";"0.2";"";"25";"0";"3.8";"3.8";"4";"4.2";"10.7";"50";"25"
"Chile";"CHI";"Primera Division";"18-06-2026 21:00";"NS";"Universidad Chile";"";"";"O'Higgins";"";"";"1.97";"3.62";"1.32";"1.25";"9";"10";"67";"44";"1";"58";"61";"75";"";"3";"3";"1.7";"1.8";"0.7";"1.8";"58";"75";"58";"58";"2.7";"23.6";"8.6";"10.1";"2";"1.3";"9";"80";"42";"50";"50";"";"";"0.5";"1";"0.3";"0.5";"1.8";"1.2";"0.3";"1.3";"1.2";"0.8";"";"50";"33";"7.2";"4";"4";"5";"9.6";"75";"67"
"Argentina";"ARG";"Reserve League";"18-06-2026 15:00";"NS";"Quilmes Res.";"";"";"San Martín San Juan Res.";"";"";"";"";"";"";"7";"36";"71";"4";"";"34";"27";"69";"";"3.2";"3";"1";"0.8";"0.5";"4.2";"44";"63";"56";"56";"2.5";"15.9";"8.8";"8.7";"2.1";"0.1";"9";"88";"2";"50";"50";"";"";"0.5";"0.2";"0.1";"2.2";"1.7";"1.6";"0.4";"2";"0.5";"0.5";"";"62";"0";"3.9";"3.4";"4.8";"5.4";"9.1";"56";"44"
"Argentina";"ARG";"Reserve League";"18-06-2026 15:00";"NS";"Independiente Res.";"";"";"Belgrano Córdoba Res.";"";"";"";"";"";"";"3";"12";"79";"42";"";"82";"37";"82";"";"3";"3";"2.4";"1.1";"0.6";"1.8";"38";"56";"56";"68";"2.5";"16.8";"7.8";"9.2";"2.4";"1.2";"9";"84";"42";"50";"62";"";"";"0.8";"0.1";"0.4";"0.5";"2";"0.8";"0.2";"1.2";"1.6";"1";"";"75";"38";"4.4";"4.2";"5.5";"4.2";"9.1";"62";"56"
