"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"Georgia";"GEO";"Erovnuli Liga 2";"22-06-2026 14:00";"NS";"Sioni";"";"";"Samtredia";"";"";"1.8";"0.4";"1.4";"1.2";"0.6";"2.1";"89";"50";"61";"50";"84";"2.6";"2";"59";"15";"";"";"";"";"";"";"19";"7.4";"11.2";"7.2";"12"
"Georgia";"GEO";"Crystalbet Erovnuli Liga";"22-06-2026 12:00";"NS";"Dila";"";"";"Rustavi";"";"";"1.2";"1.2";"1";"0.9";"1";"0.9";"56";"33";"56";"67";"61";"1.9";"2";"41";"41";"";"";"";"";"";"";"17.4";"9.1";"9.8";"7.9";"8.1"
"Georgia";"GEO";"Crystalbet Erovnuli Liga";"22-06-2026 14:00";"NS";"Torpedo Kutaisi";"";"";"Spaeri";"";"";"1.6";"1";"1.9";"1.1";"1.1";"1.4";"78";"67";"67";"33";"67";"2.8";"3";"52";"33";"";"";"";"";"";"";"19.7";"10.9";"9.7";"8.4";"10.4"
"Iceland";"ISL";"Besta deild";"22-06-2026 16:15";"NS";"KR Reykjavík";"";"";"ÍA";"";"";"2.7";"1.7";"3.7";"1.3";"2";"1.7";"84";"84";"75";"16";"75";"4.4";"5";"89";"56";"";"";"";"";"";"";"29.4";"19.7";"12.8";"11.8";"14.5"
"Iceland";"ISL";"U19 League B";"22-06-2026 16:15";"NS";"ÍR / Léttir U19";"";"";"Stjarnan / KFG U19";"";"";"2.2";"";"3.2";"";"1";"";"";"";"";"";"";"";"";"72";"";"";"";"";"";"";"";"";"22.5";"";"11";""
"Iceland";"ISL";"U19 League C";"22-06-2026 15:00";"NS";"Breið / A / Sm U19 III";"";"";"Valur / KH / Fálkar U19";"";"";"";"0";"";"1";"";"5.5";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";"";"";"";"";"";""
"Kyrgyzstan";"KGZ";"Top Liga";"22-06-2026 11:30";"NS";"Asiagoal";"";"";"Bishkek City";"";"";"1.1";"0.8";"1";"1.2";"1";"1.8";"88";"49";"71";"51";"51";"2.5";"2";"38";"27";"";"";"";"";"";"";"5.2";"1.3";"3.5";"3.2";"2.5"
"Kyrgyzstan";"KGZ";"Top Liga";"22-06-2026 11:30";"NS";"Alay";"";"";"OshMU-Aldier";"";"";"1.6";"1.2";"1.4";"0.8";"1.2";"1.2";"92";"36";"74";"64";"65";"2.3";"2";"53";"39";"";"";"";"";"";"";"";"";"5.7";"";"4.3"
"Kyrgyzstan";"KGZ";"Top Liga";"22-06-2026 11:30";"NS";"Asia Talas";"";"";"Muras United";"";"";"2.5";"2";"3.2";"1.4";"2";"1";"90";"70";"70";"30";"80";"3.8";"4";"83";"67";"";"";"";"";"";"";"11";"9.5";"3.3";"6.5";"2.7"
"Kuwait";"KUW";"Zain Premier League";"22-06-2026 13:05";"NS";"Al Salmiyah";"";"";"Al Fahaheel";"";"";"1.8";"0.9";"1.4";"1.2";"0.7";"2.7";"72";"50";"50";"50";"78";"3";"3";"59";"30";"";"";"";"";"";"";"21";"8.3";"11.6";"9.3";"12.8"
"Kuwait";"KUW";"Zain Premier League";"22-06-2026 14:45";"NS";"Al Kuwait";"";"";"Al Arabi SC";"";"";"2.8";"1.7";"3";"1.5";"0.4";"0.9";"75";"50";"35";"50";"70";"2.9";"3";"93";"57";"";"";"";"";"";"";"19.7";"13.2";"12.5";"5.9";"7.8"
"Kuwait";"KUW";"Zain Premier League";"22-06-2026 15:45";"NS";"Al Qadsia";"";"";"Kazma";"";"";"2.2";"1.8";"2.6";"1.1";"0.9";"0.8";"75";"50";"50";"50";"70";"2.7";"2";"73";"60";"";"";"";"";"";"";"20.5";"11.1";"13.4";"9.7";"6.7"
"Lithuania";"LTU";"A Lyga";"22-06-2026 13:00";"NS";"FK Riteriai";"";"";"Hegelmann Litauen";"";"";"0.3";"0.7";"0.3";"0.9";"2.4";"2";"86";"64";"43";"36";"71";"2.8";"3";"10";"24";"";"";"";"";"";"";"19";"6";"6.6";"14.6";"10.9"
"Latvia";"LVA";"Virsliga";"22-06-2026 12:00";"NS";"Rīgas FS";"";"";"Ogre United";"";"";"2.4";"0.3";"2.9";"0.8";"0.8";"2.9";"94";"64";"47";"36";"82";"3.6";"2";"79";"11";"";"";"";"";"";"";"26";"17.8";"9.8";"7";"17.4"
"Latvia";"LVA";"Latvian Cup";"22-06-2026 14:00";"NS";"Smiltene";"";"";"Valmiera";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Norway";"NOR";"3. Division - Group 2";"22-06-2026 13:00";"NS";"Aalesund II";"";"";"Ranheim II";"";"";"0.8";"0.2";"2";"2";"3.8";"2.8";"88";"88";"75";"12";"100";"5.3";"4";"25";"8";"";"";"";"";"";"";"23.7";"7.7";"12.3";"11";"16.3"
"Norway";"NOR";"3. Division - Group 3";"22-06-2026 13:00";"NS";"Fana";"";"";"Sogndal II";"";"";"1.4";"2.4";"2";"4";"1.6";"1.4";"100";"80";"60";"20";"90";"4.5";"4";"47";"80";"";"";"";"";"";"";"19.2";"10";"13";"7.5";"8"
"Norway";"NOR";"3. Division - Group 3";"22-06-2026 13:00";"NS";"Forde";"";"";"Åsane II";"";"";"1.8";"1.4";"1.6";"1.6";"1.6";"1.4";"90";"70";"80";"30";"90";"3.1";"4";"60";"47";"";"";"";"";"";"";"";"";"8";"";"14"
"Norway";"NOR";"3. Division - Group 4";"22-06-2026 12:00";"NS";"Odd II";"";"";"Flekkerøy";"";"";"0.2";"1.6";"1.5";"1.8";"3.5";"1.4";"100";"70";"90";"30";"90";"4.1";"4";"8";"53";"";"";"";"";"";"";"";"";"11";"";"7.3"
"Norway";"NOR";"3. Division - Group 4";"22-06-2026 13:00";"NS";"Haugesund II";"";"";"Madla";"";"";"0.8";"1.6";"1.8";"2.4";"2.8";"1.8";"100";"100";"78";"0";"100";"4.4";"4";"25";"53";"";"";"";"";"";"";"23";"16.3";"10";"8.3";"11.3"
"Sweden";"SWE";"Superettan";"22-06-2026 14:00";"NS";"Varberg BoIS";"";"";"Landskrona";"";"";"2.2";"1.7";"1.8";"1.5";"0.8";"0.8";"67";"50";"50";"50";"75";"2.5";"2";"72";"56";"";"";"";"";"";"";"17.9";"10.7";"8.2";"8.3";"8.7"
"Sweden";"SWE";"Superettan";"22-06-2026 14:00";"NS";"Oddevold";"";"";"Ljungskile";"";"";"1.3";"0.8";"1.7";"1.3";"1.3";"1.3";"75";"58";"75";"42";"84";"2.8";"3";"44";"28";"";"";"";"";"";"";"20.4";"10.8";"11.8";"7.3";"10.8"
"Sweden";"SWE";"Superettan";"22-06-2026 14:05";"NS";"Örebro";"";"";"Sandviken";"";"";"1.2";"0.8";"0.8";"1.4";"1.3";"1.4";"74";"65";"55";"35";"55";"2.5";"2";"39";"27";"";"";"";"";"";"";"20.9";"10.8";"9";"11.2";"10.8"
"Sweden";"SWE";"Svenska Cupen";"22-06-2026 14:00";"NS";"Räppe";"";"";"Hässleholms IF";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sweden";"SWE";"Svenska Cupen";"22-06-2026 14:00";"NS";"Landvetter IS";"";"";"Dalstorps";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Sweden";"SWE";"Division 2: Norrland";"22-06-2026 14:00";"NS";"Boden";"";"";"IFK Luleå";"";"";"1.6";"2.4";"1.6";"2.8";"1";"1.8";"100";"60";"80";"40";"90";"3.6";"4";"53";"80";"";"";"";"";"";"";"";"";"";"";""
"Sweden";"SWE";"Division 2: Sodra Svealand";"22-06-2026 14:30";"NS";"Syrianska";"";"";"Rågsved";"";"";"1.2";"1.6";"1.8";"3";"2.8";"2.2";"92";"72";"74";"28";"90";"5";"4";"39";"53";"";"";"";"";"";"";"21";"11.7";"8.2";"14.2";"8"
"Sweden";"SWE";"Division 2: Sodra Svealand";"22-06-2026 14:30";"NS";"Sleipner";"";"";"Nyköping";"";"";"2";"2";"1.8";"1.4";"1.2";"1";"82";"36";"64";"64";"92";"2.7";"4";"67";"67";"";"";"";"";"";"";"21.5";"10.3";"13";"6.7";"13"
"United States";"USA";"USL League Two";"22-06-2026 21:30";"NS";"Denton Diablos";"";"";"McKinney Chupacabras";"";"";"3";"2.3";"1.5";"3.7";"0.5";"1.3";"75";"75";"75";"25";"100";"3.5";"4";"100";"78";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL League Two";"22-06-2026 22:00";"NS";"Flatirons Rush";"";"";"Atlético Unión";"";"";"0";"1";"0.5";"2";"4";"1.7";"100";"100";"58";"0";"84";"4.1";"3";"0";"33";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"22-06-2026 18:00";"NS";"Baton Rouge United W";"";"";"Little Rock Rangers";"";"";"";"2.3";"";"1.7";"";"0";"";"";"";"";"";"";"";"";"78";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"WPSL";"22-06-2026 22:00";"NS";"Glacier";"";"";"Colorado Pride W";"";"";"0.7";"1.5";"1.7";"1.5";"2";"1.5";"100";"84";"100";"16";"";"3.4";"4";"22";"50";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL W League";"22-06-2026 20:00";"NS";"Vermont Green W";"";"";"Hartford Athletic W";"";"";"2.5";"1.7";"3.8";"1.7";"0.8";"0.3";"84";"54";"54";"46";"84";"3.2";"4";"83";"56";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"USL W League";"22-06-2026 20:30";"NS";"Paisley Athletic W";"";"";"Long Island Rough Riders W";"";"";"2.2";"2.2";"3.8";"4.8";"2.2";"1.8";"100";"100";"62";"0";"84";"6.2";"5";"75";"75";"";"";"";"";"";"";"";"";"";"";""
"United States";"USA";"UWS";"22-06-2026 21:00";"NS";"Troy City W";"";"";"Michigan Stars W";"";"";"0";"1.5";"0";"2";"3";"3.5";"75";"75";"0";"25";"";"4.2";"4";"0";"50";"";"";"";"";"";"";"";"";"";"";""
"Argentina";"ARG";"Primera Division Women";"22-06-2026 19:00";"NS";"Talleres de Córdoba W";"";"";"Huracán W";"";"";"1.4";"1.2";"1";"0.8";"0.6";"1";"70";"10";"60";"90";"60";"1.7";"2";"47";"40";"";"";"";"";"";"";"20.4";"16.6";"7.4";"8.4";"8.4"
"Iceland";"ISL";"Premier League Women";"22-06-2026 15:00";"NS";"ÍBV W";"";"";"Breidablik W";"";"";"2.3";"3";"2";"4";"1";"1";"100";"66";"67";"34";"84";"4";"4";"78";"100";"";"";"";"";"";"";"26.8";"13.7";"19";"12.7";"8.3"
"Iceland";"ISL";"Premier League Women";"22-06-2026 15:00";"NS";"Thor Akureyri W";"";"";"Thróttur Reykjavík W";"";"";"0.5";"2.2";"2";"2";"3";"0.8";"88";"62";"62";"38";"88";"3.9";"4";"17";"75";"";"";"";"";"";"";"23.8";"10.2";"11.5";"13.8";"12"
"Iceland";"ISL";"Premier League Women";"22-06-2026 16:15";"NS";"Stjarnan W";"";"";"Fram W";"";"";"2";"0.3";"1.7";"0.7";"0.7";"2.7";"84";"33";"33";"67";"33";"2.8";"3";"67";"11";"";"";"";"";"";"";"22.8";"12.7";"8.7";"5.7";"18.7"
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 08:00";"NS";"Zhetysu W";"";"";"Ulytau Zhezkazgan W";"";"";"0.2";"0.5";"0.5";"0";"4";"1";"62";"25";"25";"75";"38";"2.8";"4";"8";"17";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 09:00";"NS";"Kaspiy W";"";"";"BIIK Shymkent W";"";"";"0.2";"3";"0";"11";"2.5";"0";"75";"75";"0";"25";"88";"6.8";"6";"8";"100";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 09:00";"NS";"Ordabasy W";"";"";"Atyrau W";"";"";"1.5";"1.5";"1";"1";"1";"4.2";"88";"25";"0";"75";"50";"3.6";"4";"50";"50";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 10:00";"NS";"Aktobe W";"";"";"Altay Oskemen W";"";"";"3";"0";"10.2";"0.3";"0.2";"4";"100";"100";"29";"0";"100";"7.4";"6";"100";"0";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 11:00";"NS";"Turan Turkistan W";"";"";"Kairat W";"";"";"";"1.8";"";"3.2";"";"1";"";"";"";"";"";"";"";"";"58";"";"";"";"";"";"";"";"";"";"";""
"Kazakhstan";"KAZ";"Womens Championship";"22-06-2026 11:00";"NS";"Astana W";"";"";"Okzhetpes W";"";"";"3";"0";"3.7";"1";"0.3";"6.7";"100";"100";"50";"0";"100";"5.8";"6";"100";"0";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Zbrojovka Brno";"";"";"Prostějov";"";"";"2.4";"";"1.8";"";"0.8";"";"";"";"";"";"";"";"";"80";"";"";"";"";"";"";"";"";"18";"";"10.5";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Levski Sofia";"";"";"Etar";"";"";"2";"0.5";"2";"0.5";"0.8";"2";"90";"65";"55";"35";"90";"2.6";"3";"67";"17";"";"";"";"";"";"";"17.4";"12";"7.5";"4.3";"11"
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Skendija 79";"";"";"Hajduk Split";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Gomel";"";"";"Yenisey";"";"";"3";"2";"2.7";"1";"0.3";"0.2";"58";"46";"29";"54";"29";"2.1";"3";"100";"67";"";"";"";"";"";"";"";"10.5";"";"8";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Botev Plovdiv";"";"";"Spartak Pleven";"";"";"3";"";"2";"";"0.2";"";"";"";"";"";"";"";"";"100";"";"";"";"";"";"";"";"";"13.8";"";"8.8";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"Koper";"";"";"Noah";"";"";"";"1";"";"0.3";"";"1.7";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"Club Friendlies 3";"22-06-2026 21:00";"NS";"FK Humenné";"";"";"Zemplín Michalovce";"";"";"";"0.2";"";"1.8";"";"3";"";"";"";"";"";"";"";"";"8";"";"";"";"";"";"";"";"";"";"";""
"Peru";"PER";"Liga 3";"22-06-2026 17:00";"NS";"Deportivo Ucrania";"";"";"Nuevo San Cristóbal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Peru";"PER";"Copa de La Liga";"22-06-2026 15:00";"NS";"Deportivo Binacional";"";"";"Cusco FC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Peru";"PER";"Copa de La Liga";"22-06-2026 17:15";"NS";"Atlético Grau";"";"";"Molinos El Pirata";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
