"Country ";"Short";"League ";"Hour";"Status";"Home Team";"Result Home";"Result Visitor";"Visitor Team";"Result Home HT";"Result Visitor HT";"Casa";"Fora";"Casa";"Fora";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Global";"Global";"Global";"Global";"Global";"Global";"Global";"Casa";"Fora";"Casa";"Fora"
"World";"WOR";"World Cup";"22-06-2026 14:00";"NS";"Argentina";"";"";"Austria";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"22-06-2026 18:00";"NS";"France";"";"";"Iraq";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"World";"WOR";"World Cup";"22-06-2026 21:00";"NS";"Norway";"";"";"Senegal";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Serie B";"22-06-2026 20:00";"NS";"Ponte Preta";"";"";"Novorizontino";"";"";"0.7";"1.4";"0.7";"1.6";"1.6";"0.7";"57";"43";"43";"57";"57";"2.3";"3";"24";"48";"";"";"";"";"";"";"26.4";"12.6";"11.3";"15";"13.9"
"Republic of Ireland";"IRL";"Premier Division";"22-06-2026 15:45";"NS";"Shelbourne";"";"";"Bohemians";"";"";"1";"1.7";"1.5";"1.5";"1.7";"1.3";"70";"65";"70";"35";"65";"3";"2";"33";"57";"";"";"";"";"";"";"25.7";"14.8";"14";"11.9";"10.7"
"Republic of Ireland";"IRL";"Premier Division";"22-06-2026 16:00";"NS";"Shamrock Rovers";"";"";"Derry City";"";"";"2.5";"0.8";"1.8";"1";"0.7";"1.3";"70";"50";"60";"50";"75";"2.4";"3";"83";"27";"";"";"";"";"";"";"24.4";"13.8";"11";"10.4";"13.7"
"Argentina";"ARG";"Torneo Federal A";"22-06-2026 20:15";"NS";"9 de Julio Rafaela";"";"";"El Linqueño";"";"";"2.2";"0.2";"2.5";"0.3";"1.3";"1.3";"66";"42";"50";"58";"75";"2.8";"3";"72";"6";"";"";"";"";"";"";"19.8";"10.7";"9.5";"8.7";"10.7"
"Australia";"AUS";"Victoria Premier League 2";"22-06-2026 07:15";"NS";"Melbourne Victory II";"";"";"Brunswick City";"";"";"2.1";"1";"2.5";"1.7";"1.2";"1.7";"86";"86";"73";"14";"87";"3.6";"4";"71";"33";"";"";"";"";"";"";"20.8";"14.5";"12.4";"6.4";"8.1"
"Bhutan";"BHU";"Bhutan Premier League";"22-06-2026 09:00";"NS";"Thimphu";"";"";"Tsirang";"";"";"1";"2";"0.7";"1.7";"1.7";"1.3";"84";"50";"34";"50";"66";"2.6";"3";"33";"67";"";"";"";"";"";"";"";"16.5";"";"20";""
"Brazil";"BRA";"Serie C";"22-06-2026 19:30";"NS";"Confiança";"";"";"Guarani";"";"";"1.4";"2";"0.6";"2.5";"0.6";"0.8";"60";"35";"35";"65";"68";"2.2";"2";"47";"67";"";"";"";"";"";"";"23";"11.2";"14.5";"10";"10.2"
"Brazil";"BRA";"Amazonense U20";"22-06-2026 16:00";"NS";"RB do Norte U20";"";"";"Manauara U20";"";"";"2";"1.5";"1";"2";"0";"1.5";"75";"25";"25";"75";"";"2.2";"4";"67";"50";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Amazonense U20";"22-06-2026 16:00";"NS";"Amazonas U20";"";"";"Manaus U20";"";"";"3";"1.5";"6.7";"2.5";"0.7";"1";"100";"75";"34";"25";"";"5.4";"5";"100";"50";"";"";"";"";"";"";"";"";"";"";""
"Brazil";"BRA";"Catarinense U20";"22-06-2026 15:00";"NS";"Joinville U20";"";"";"Figueirense U20";"";"";"0.2";"0.6";"1";"1";"2.2";"1.6";"80";"45";"55";"55";"80";"2.9";"3";"8";"20";"";"";"";"";"";"";"21.8";"10";"9.6";"13";"11"
"Estonia";"EST";"Esiliiga A";"22-06-2026 13:00";"NS";"Elva";"";"";"Flora II";"";"";"1.7";"2";"1.8";"2.8";"1.8";"1.6";"89";"78";"78";"22";"89";"4";"4";"56";"67";"";"";"";"";"";"";"21.5";"10.4";"10.2";"9.8";"12.6"
"Estonia";"EST";"Esiliiga A";"22-06-2026 13:00";"NS";"Maardu";"";"";"Viimsi";"";"";"1.6";"1.9";"1.3";"1.4";"1.4";"0.6";"76";"45";"46";"55";"60";"2.4";"3";"52";"63";"";"";"";"";"";"";"24.3";"16.7";"11.8";"13.1";"6.9"
"Estonia";"EST";"Esiliiga B";"22-06-2026 09:00";"NS";"Tulevik";"";"";"Tammeka II";"";"";"2.1";"1.7";"3.3";"2";"1.9";"2.7";"86";"86";"82";"14";"84";"5";"5";"70";"56";"";"";"";"";"";"";"28";"15.8";"13.7";"9.9";"16.5"
"Estonia";"EST";"Esiliiga B";"22-06-2026 11:00";"NS";"Legion";"";"";"Vaprus II";"";"";"0.6";"1";"0.8";"1.8";"3";"2.9";"100";"84";"59";"16";"79";"4.2";"5";"20";"33";"";"";"";"";"";"";"25.5";"13.8";"8.6";"15.5";"13.3"
"Estonia";"EST";"Esiliiga B";"22-06-2026 13:00";"NS";"FCI Tallinn";"";"";"Phoenix";"";"";"1.5";"0.7";"2.2";"1.3";"2";"2.8";"100";"75";"66";"25";"92";"4.2";"4";"50";"22";"";"";"";"";"";"";"27.1";"15";"14.7";"11.7";"12.8"
"Estonia";"EST";"Esiliiga B";"22-06-2026 13:00";"NS";"Tallinna Kalev II";"";"";"Trans II";"";"";"0.8";"0.9";"2.1";"1.1";"2.2";"2";"80";"74";"54";"26";"69";"3.7";"4";"26";"29";"";"";"";"";"";"";"27.4";"11.2";"14.9";"17.1";"11.4"
"Ethiopia";"ETH";"Premier League";"22-06-2026 09:00";"NS";"Welayta Dicha";"";"";"Mebrat Hayl";"";"";"1.5";"1";"1";"1.1";"0.7";"1.2";"55";"35";"45";"65";"65";"2";"2";"50";"33";"";"";"";"";"";"";"13.8";"7.5";"7.7";"5";"7.5"
"Ethiopia";"ETH";"Premier League";"22-06-2026 09:00";"NS";"Fasil Ketema";"";"";"Arba Minch Kenema";"";"";"1";"2.1";"0.6";"1.3";"1.2";"0.5";"60";"30";"30";"70";"45";"1.8";"2";"33";"70";"";"";"";"";"";"";"13.3";"6.5";"8";"6.1";"6"
"Ethiopia";"ETH";"Premier League";"22-06-2026 12:00";"NS";"Welwalo Adigrat Uni";"";"";"Hadiya Hosaena";"";"";"1.5";"1.6";"1.1";"0.7";"0.9";"0.6";"55";"15";"45";"85";"60";"1.6";"2";"50";"53";"";"";"";"";"";"";"13.4";"5.8";"4.9";"7";"9.1"
"Gambia";"GAM";"GFF First Division";"22-06-2026 13:30";"NS";"Real de Banjul";"";"";"Greater Tomorrow";"";"";"1.6";"1.3";"1.1";"0.6";"0.7";"0.8";"40";"30";"30";"70";"55";"1.6";"2";"53";"43";"";"";"";"";"";"";"20.5";"8.8";"11";"7.5";"13.7"
"Gambia";"GAM";"GFF First Division";"22-06-2026 13:30";"NS";"Team Rhino";"";"";"TMT";"";"";"1.5";"1";"1";"0.7";"0.9";"1.1";"50";"25";"35";"75";"45";"1.8";"2";"50";"33";"";"";"";"";"";"";"19.2";"7.2";"12";"8.7";"10.7"
"Gambia";"GAM";"GFF First Division";"22-06-2026 13:30";"NS";"Hawks";"";"";"Samger";"";"";"1.4";"1.3";"0.9";"0.6";"0.7";"0.6";"40";"20";"30";"80";"45";"1.4";"2";"47";"43";"";"";"";"";"";"";"14.8";"8.6";"7.9";"6.9";"6.4"
"Gambia";"GAM";"GFF First Division";"22-06-2026 13:30";"NS";"Dutch Lions";"";"";"Brikama United";"";"";"1.3";"1.1";"1.4";"0.9";"1.3";"1";"55";"45";"55";"55";"60";"2.3";"2";"43";"37";"";"";"";"";"";"";"22.4";"8.6";"11.7";"11.4";"13"
"Georgia";"GEO";"Erovnuli Liga 2";"22-06-2026 10:00";"NS";"Merani Martvili";"";"";"Gori";"";"";"2";"0.4";"1.2";"0.4";"0.7";"1.2";"56";"22";"38";"78";"56";"1.8";"2";"67";"15";"";"";"";"";"";"";"18.7";"11.2";"8.6";"8.1";"9.4"
"Georgia";"GEO";"Erovnuli Liga 2";"22-06-2026 10:00";"NS";"Gareji";"";"";"FC Odishi 1919";"";"";"2.6";"0.8";"1.4";"0.9";"0.4";"1.8";"62";"33";"38";"67";"72";"2.3";"2";"85";"26";"";"";"";"";"";"";"18.5";"7.9";"7.5";"13.3";"8.2"
"Georgia";"GEO";"Erovnuli Liga 2";"22-06-2026 11:00";"NS";"Kolkheti Poti";"";"";"Shturmi";"";"";"1.4";"1.1";"1.9";"0.8";"1";"0.7";"72";"28";"62";"72";"72";"2.2";"2";"48";"37";"";"";"";"";"";"";"20.5";"12";"8.9";"12.7";"7.4"
"Georgia";"GEO";"Erovnuli Liga 2";"22-06-2026 13:00";"NS";"Telavi";"";"";"Aragvi Dusheti";"";"";"2.3";"0.7";"1.3";"0.6";"0.4";"1.3";"62";"16";"44";"84";"56";"1.8";"2";"78";"22";"";"";"";"";"";"";"16.4";"6.7";"9";"6";"11.2"
